microsoft/WindowsCompositionSamples
CommunityToolkit/WindowsCommunityToolkit
microsoft/vcpkg
FredrikNoren/assimp-rs
gfx-rs/gfx
microsoft/DirectXTex
microsoft/Windows-universal-samples
imager-io/ffmpeg-dev-rs
microsoft/windows-rs
microsoft/TestWinRT
MicrosoftDocs/sdk-api
Yatekii/imgui-wgpu-rs
zaki/irrlicht
StefH/Matroska
NoelKennedy/MinimumEditDistance
austinleroy/webm-iterable
austinleroy/ebml-iterable
godot-rust/gdnative
microsoft/windows-app-rs
microsoft/Windows.UI.Composition-Win32-Samples
microsoft/Win2D
Twinklebear/sdl2_vulkan
ux3d/2gltf2
Veykril/imgui-dx11-renderer
will-hart/chapter
mapeditor/rs-tiled
