CocoaPods/Specs
toco/TSMessages
jverkoey/ObjQREncoder
jeresig/i18n-node-2
RestKit/RestKit
oligriffiths/RestKit
michaelkamphausen/Whisper
Computop/Computop-iOS
seedco/StatefulViewController
