vim-scripts/Smart-Tabs
nickhutchinson/vim-cmake-syntax
rhempel/umm_malloc
rofafor/vdr-plugin-satip
jkerian/HiCursorWords
jonathan-beard/simple_wc_example
json-schema-org/JSON-Schema-Test-Suite
eidheim/Simple-Web-Server
ben-strasser/fast-cpp-csv-parser
stephane/libmodbus
vim/vim
westerndigitalcorporation/pyvcd
Azure/azure-iot-sdk-c
Azure/azure-event-hubs-c
recastnavigation/recastnavigation
Azure/azure-c-shared-utility
nlohmann/json
agronholm/cbor2
sdementen/piecash
ppawel/youtube-dl
cpb-/yocto-cooker
SchemaStore/schemastore
LaboratoryOfPlasmaPhysics/space
SciQLop/broni
SciQLop/orbit-viewer
SciQLop/tscat
SciQLop/tscat_gui
