Lightning-AI/pytorch-lightning
pytorch/tutorials
pytorch/pytorch
pytorch/torchx
pytorch/ignite
pytorch/tnt
pytorch/torcheval
facebookresearch/pytorchvideo
pytorch/torchsnapshot
facebookresearch/llama
facebookresearch/llama-recipes
EleutherAI/lm-evaluation-harness
