judofyr/camping
thatcher/env-js
jsdom/jsdom
riegel/node.js-SMTP-server
Homebrew/legacy-homebrew
felixge/node-nix
whomwah/qlstephen
senchalabs/connect
tj/node-querystring
Codeux-Software/Textual
Sharpie/homebrew-science
ruby-building-blocks/ruby-inotify
ruby-building-blocks/ruby-iif
ruby-building-blocks/ruby-paypal-csv
ruby-building-blocks/ruby-epeg
ruby-building-blocks/xhtmldiff
TooTallNate/NodObjC
stbuehler/node-dht
robflaherty/html-slideshow
ln5/dmr-homage
samshull/node-proxy
pgriess/node-webworker
tautologistics/node-htmlparser
Automattic/node-canvas
knockout/knockout
kpdecker/stylus-images
OnlineBuddies/Modyllic
markjaquith/WordPress
kodi/nodius
mscdex/node-imap
joho/7XX-rfc
bevry/watchr
0xced/SpotColor
ajessup/pluto
tj/php-selector
patrikf/glip
detro/ghostdriver
iarna/accountbooks
Ingewikkeld/IngewikkeldWrapperBundle
appjs/appjs
tbergeron/ThinAir
tent/tent.io
xmppo/node-xmpp-bosh
leafo/lessphp
metajack/strophejs
andris9/node-gearman
airbnb/infinity
pandastrike/shred
moshen/node-googlemaps
gildean/Hachi
blup/bootstrap.stylus
stylus/nib
jaredhanson/junction
nikhilm/kademlia
raganwald-deprecated/homoiconic
iriscouch/fastcgi
cloudhead/node-static
pillarjs/send
TryGhost/node-sqlite3
tylertate/semantic.gs
felixge/node-romulus
caolan/async
tapjs/tapjs
TritonDataCenter/smartos-vmtools
zmmbreeze/blogin
jwise/HoRNDIS
metafizzy/packery
Raynos/duplexer
rowanmanning/joblint
dansinker/tacofancy
buckle/puppet-memcached
browserify/http-browserify
max-mapper/persona-id
alexgorbatchev/node-browser-builtins
creationix/js-git
max-mapper/concat-stream
textmate/textmate
Raynos/http-framework
iarna/sql-lexer
veged/ometa-js
komoot/photon
juliangruber/ploy
iarna/collect-callbacks
OpenNI/OpenNI2
iarna/promisable
nickdesaulniers/What-Open-Source-Means-To-Me
kach/nearley
VundleVim/Vundle.vim
jvns/syscall_menagerie
johnraber/kraken-examples
krakenjs/makara
pythonmobile/frontend-bundle
messageformat/messageformat
krakenjs/file-resolver
krakenjs/engine-munger
krakenjs/shortstop
yoshuawuyts/newspeak
krakenjs/spud
krakenjs/lusca
krakenjs/localizr
krakenjs/kraken-devtools
ress/inbox
krakenjs/findatag
krakenjs/kraken-js
formatjs/intl-messageformat
krakenjs/krakenjs.github.io
krakenjs/generator-kraken
jasisk/shortstop-resolve
krakenjs/meddleware
AmpersandJS/ampersand-view
kz26/UChicagoRoulette
krakenjs/bundalo
ricardobeat/toml.js
BinaryMuse/toml-node
krakenjs/adaro
pillarjs/path-to-regexp
techpeace/authenticated-rss-proxy
yeoman/yo
krakenjs/confit
krakenjs/generator-swaggerize
heapwolf/lev
expressjs/express
dickhardt/QR-ANSI-node
jprichardson/node-wp2md
ladjs/supertest
LinkedInAttic/dustjs-helpers
pvenkatakrishnan/fastPath
martindale/pushhub
npm/ndm
krakenjs/grunt-localizr
krakenjs/dustjacket
morenoh149/npm-algos
krakenjs/dust-makara-helpers
krakenjs/dust-message-helper
krakenjs/dust-usecontent-helper
npm/npm
williamkapke/nodeirc
indutny/bn.js
krakenjs/freshy
tlivings/hammertime
linkedin/dustjs
rdio/jsfmt
ImmigrationTracker/ImmigrationTracker
jeffreykegler/Marpa--R2
jeffreykegler/Marpa-web-site
mattbierner/bennu
facebook/react
gagle/node-bcp47
exojason/differ
krakenjs/endgame
krakenjs/shush
tlivings/camelscore
krakenjs/kraken-example-with-i18n
krakenjs/kraken-example-with-bcp47locale
krakenjs/kraken-example-with-shoppingcart
krakenjs/kraken-example-with-specialization
classdojo/amdify.js
TieDyedDevil/XS
fsevents/fsevents
krakenjs/karka
voodootikigod/node-rolling-spider
atomicobject/heatshrink
yeoman/environment
mde/ejs
tlivings/extrefs
hexojs/hexo-deployer-rsync
STAH/grunt-dustjs
npm/humans
rtorr/newww
npm/token-facilitator
npm/hapi-stateless-notifications
yeahoffline/redis-mock
sequoiar/bouncy
henvic/require-time
npm/newww-tests
rvagg/archived-pangyp
nodejs/node-gyp
purescript-contrib/pulp
hapijs/cookie
aks-/user-acl-mock
npm/policies
EvanOxfeld/node-pullstream
ssbc/patchwork
firmata/firmata.js
rwaldron/johnny-five
krakenjs/localeResolver
quephird/space-invaders-ps
ssbc/docs
backspace/slack-statsbot
iarna/require-inject
hapijs/catbox-redis
Raynos/mercury
jcrugzz/changes-stream
brycebaril/timestreamdb
nodejs/node
npm/ansible-pg-wale
npm/ansible-pg-failover
