MycroftAI/mycroft-core
studioimaginaire/phue
MycroftAI/mycroft-skills
amcgee7/picroft_example_skill_gpio
tldr-pages/tldr
ethanaward/pianobar-skill
MycroftAI/skill-alarm
eClarity/mycroft-homeassistant
MycroftAI/adapt
system76/docs
ultralytics/ultralytics
