JanX2/ManOpen
OpenEmu/OpenEmu
SVGKit/SVGKit
wine-mirror/wine
ctm/executor
qemu/qemu
mackyle/a52codec
FFmpeg/FFmpeg
ctm/syn68k
cebix/macemu
kainjow/BBEncoder
landonf/haiku
landonf/haiku-buildtools
scummvm/scummvm
AquariaOSE/Aquaria
zinnschlag/openmw
qwook/minetest
GenjiApp/EPUBImporter
GenjiApp/EPUBQLGenerator
gauravverma/AFImagePager
stuartcarnie/c64iphone
sveinbjornt/osxiconutils
OoliteProject/oolite
OoliteProject/oolite-mac-components
Wevah/ResKnife
sparkle-project/Sparkle
360Controller/360Controller
rentalcustard/Colloquy
daviddengcn/sea
jcnix/Lugaru
kainjow/Glypha
GabuEx/my-little-investigations
pcsxr/PCSX-Reloaded
stebulus/xscreensaver
pruten/shoebill
stephank/surreal
KoKuToru/koku-xinput-wine
obsproject/obs-studio
wjk/SwiftXPC
CocoaLumberjack/CocoaLumberjack
SwiftyJSON/SwiftyJSON
plexinc/plex-home-theater-public
tul/tntbasic
mirror/pcsxr
arauchfuss/Simple-Comic
alunbestor/Boxer
vade/BGHUDAppKit
ziacto/SoundCreation
Drewbadour/Xone-OSX
nevil/supersfv
sonoisa/OgreKit
jurre/TravisToday
toland/qlmarkdown
JanX2/AGRegex
bryceco/NetHack-Mac-OS-X.dead
UnNetHack/UnNetHack
th-in-gs/TBColor
hawkfalcon/SpaceEvaders
PCSX2/pcsx2
PascalLG/biginteger-objc
LuizZak/JelloSwift
uliwitness/UKSoundFileRecorder
jaketmp/ePub-quicklook
kainjow/ForkView
krzyzanowskim/CryptoSwift
colloquy/colloquy
sonsongithub/reddift
kishikawakatsumi/KeychainAccess
millenomi/diceshaker
gnustep/apps-gorm
alistairmcmillan/MacBill
Jounce/Surge
newlinedotco/FlappySwift
insidegui/WWDC
stephencelis/SQLite.swift
pokeb/asi-http-request
ccgus/fmdb
unixpickle/Giraffe
rendermat/OuyaInputFramework
Aleph-One-Marathon/alephone
ifrotz/iosfrotz
gnustep/libs-base
garglk/garglk
panicinc/docerator
id-Software/Quake-Tools
fragglet/DoomEd
dirkz/iNetHack
angband/angband
kean/Nuke
mpartio/SwiftSocket
sveinbjornt/ManDrake
gnachman/iTerm2
itaiferber/OCCurses
Auntie-Player/apple-tv
JanX2/UniversalDetector
iComics/XADMaster-Legacy
iodoom/iod3
NimbusKit/memorymapping
alunbestor/Boxer-DDHidLib
alunbestor/Boxer-MT32Emu
mozilla-mobile/firefox-ios
alunbestor/Boxer-cdrdao
redsaurus/BoA3DEditorMac
mikemcduffie/XADMaster
AbiWord/abiword
apple/swift-corelibs-foundation
curtclifton/bbedit-swift-clm
AquaTerm/AquaTerm
unifiedh/Chameleon-Swift
cocoabits/MASPreferences
jterhorst/Chameleon
samdeane/RegexKitLite
Kentzo/F-Script
zaggo/Pleasant3D
omnigroup/OmniGroup
NetHack/NetHack
naman14/TerminalScreensaver
rofl0r/openbor
voidref/Trace
zirman/xbolo
ios8/AdventureBuildingaSpriteKitGameUsingSwift
fruitz-of-dojo/Quake2
fruitz-of-dojo/Quake
fruitz-of-dojo/Quake2-Xatrix
fruitz-of-dojo/Quake2-Rogue
zirman/magma
growl/CocoaAsyncSocket
katopz/swiftpp
fruitz-of-dojo/TenebraeQuake
fruitz-of-dojo/Quake2-Action
telvin/TCMPortMapper
miniupnp/miniupnp
miniupnp/libnatpmp
NSGod/SourceFinagler
nygard/class-dump
omnigroup/LinkBack
mattgallagher/CwlDemangle
jpd002/Play-
jpd002/Play--CodeGen
jpd002/Play--Framework
OpenEmu/Play-Core
steve228uk/PiPHack
JanX2/XiphQT
xiph/vorbis
xiph/theora
xiph/speex
xiph/ogg
xiph/flac
xiph/opus
Matroska-Org/libmatroska
Matroska-Org/libebml
jpd002/Play-Dependencies
schlueter/DiskInventoryX
gco/xee
vit9696/xee
dmsurti/AssimpKit
ZipArchive/ZipArchive
gnustep/libs-gui
MrAlert/sdlcl
ksherlock/mpw-shell
brianwells/burn-osx
stella-emu/stella
antiufo/SevenZipSharp
zakk4223/CocoaSplit
calref/cboe
opensludge/opensludge
AlisterT/openjazz
netik/UTCMenuClock
STJr/SRB2
buaabyl/pedump
ChrisFlannagan/iOS-Bimini-Ring-Toss
PierreLorenzi/HyperCardPreview
ioquake/ioq3
apple/swift
majimboo/mviewer
sumatrapdfreader/chmlib
incbee/Unarchiver
castano/nvidia-texture-tools
adamwulf/DrawKit
DrawKit/DrawKit
DrawKit/legacy-DrawKit-mini-demo
DrawKit/legacy-DrawKit-demo
danielebogo/DBCamera
mabam/CAP
vandry/prodos
autc04/Retro68
TrajansRow/marathon-ios
dirkwhoffmann/virtualc64
iina/iina
KhronosGroup/MoltenVK
Logicalshift/CocoaGlk
Logicalshift/zoom
DavidKinder/Git
erkyrath/iosglk
Yabause/yabause
skmp/reicast-emulator
TomHarte/CLK
OpenEmu/CrabEmu-Core
assimp/assimp
refnum/Quesa
Dessyreqt/alttprandomizer
NightDive-Studio/shockmac
dxx-rebirth/dxx-rebirth
CocoaMSX/CocoaMSX
LasDesu/QUASI88
svn2github/dosbox
silc/silc
Baddaboo/ClassicKit
GarageGames/Torque3D
jfroy/rivenx
