progrium/ginkgo
EricssonResearch/openwebrtc-build-scripts
dlbeer/mspdebug
jupyterhub/jupyterhub
NotSqrt/mattermost-integration-gitlab
larsks/dnsthing
jupyterhub/oauthenticator
conda-forge/mumps-feedstock
jupyter-widgets/ipywidgets
conda-forge/kwant-feedstock
basnijholt/mumpy
PyGithub/PyGithub
alvinwan/TexSoup
simonmichael/hledger
dmtx/libdmtx
jupyter/jupyter-sphinx
conda-forge/toolchain-feedstock
NaturalHistoryMuseum/pylibdmtx
python-adaptive/adaptive
conda-forge/staged-recipes
matrix-org/synapse
0rpc/zerorpc-python
basnijholt/revtex-markdown-paper
conda-forge/qsymm-feedstock
scipy/scipy
HypothesisWorks/hypothesis
basnijholt/adaptive-scheduler
vlunot/nb2hugo
JuliaLang/julia
conda-forge/fenics-feedstock
aiidateam/aiida-registry
mwouts/jupytext
briancurtin/deprecation
aiidateam/pgsu
willmcgugan/textual-markdown
conda-forge/adaptive-feedstock
