huggingface/transformers
rui314/chibicc
huggingface/accelerate
pytorch/pytorch
srush/GPU-Puzzles
huggingface/safetensors
downdemo/Cpp-Concurrency-in-Action-2ed
Lightning-AI/pytorch-lightning
openai/triton
facebookresearch/llama-recipes
wgtdkp/wgtcc
huggingface/trl
huggingface/pytorch-image-models
huggingface/diffusers
01-ai/Yi
muellerzr/minimal-trainer-zoo
huggingface/huggingface_hub
explosion/spacy-huggingface-hub
storj/huggingface-hub-storj-patch
shiyemin/light-hf-proxy
sgugger/lazy_init
openai/openai-python
adapter-hub/adapters
huggingface/optimum-nvidia
pytorch/PiPPy
huggingface/nanotron
hiyouga/LLaMA-Factory
huggingface/text-embeddings-inference
huggingface/text-generation-inference
intelligent-machine-learning/dlrover
allenai/OLMo
huggingface/setfit
