spring-attic/spring-security-oauth
testcontainers/testcontainers-java
jenkinsci/git-plugin
codecentric/spring-boot-admin
jenkinsci/configuration-as-code-plugin
jenkinsci/config-file-provider-plugin
spring-cloud/spring-cloud-commons
jenkinsci/kubernetes-plugin
spring-cloud/spring-cloud-config
spring-cloud/spring-cloud-kubernetes
spring-projects/spring-authorization-server
Azure/azure-sdk-for-java
eclipse-tractusx/eclipse-tractusx.github.io
