firststef/RealQuest
firststef/SPEL
firststef/HumanityAgainstCards
blox-dev/Humanity_Against_Cards_AI
firststef/CarcassonneLib
firststef/CarcassonneAR
itec-ligaac/web--------
mirondorin/DQ-RL
Gird-the-Grid/Grid-the-Grid
infoROM2000/Generatorul
crvs/KDTree
isocpp/CppCoreGuidelines
subhadarship/kmeans_pytorch
DeMoriarty/fast_pytorch_kmeans
MIC-DKFZ/nnUNet
MIC-DKFZ/acvl_utils
MIC-DKFZ/batchgenerators
Tensor-Reloaded/Pytorch-Template
pytorch/pytorch
Tensor-Reloaded/Advanced-Topics-in-Neural-Networks-Template-2023
MIC-DKFZ/dynamic-network-architectures
