libretro/Lakka-LibreELEC
microsoft/malmo
onlytailei/A3C-PyTorch
elbayadm/attn2d
pytorch/pytorch
microsoft/nni
apache/mxnet
huggingface/transformers
glample/fastBPE
google/flax
onnx/onnx
triton-inference-server/server
triton-inference-server/onnxruntime_backend
huggingface/datasets
microsoft/onnxruntime
NVIDIA/apex
aws/deep-learning-containers
aws/deep-learning-containers
adetaylor/rust-bindgen
srush/llama2.rs
