MycroftAI/mycroft-core
amcgee7/picroft_example_skill_gpio
JeffHoogland/pyxhook
melode11/FastDTW-x
codeforkansascity/streetlights
ethanaward/pianobar-skill
MycroftAI/mycroft-skills
eClarity/mycroft-homeassistant
luckydonald-forks/fsm
MycroftAI/mycroft-precise
adambard/learnxinyminutes-docs
MrJohz/appdirs
tek-shinobi/read-only-attributes
encode/starlette
python-lsp/python-lsp-black
danigm/blue
lapce/lapce
lapce/piet-wgpu
lapce/druid
MycroftAI/sonopy
tiangolo/pydantic-sqlalchemy
