brianfrankcooper/YCSB
apache/iceberg
trinodb/trino
prestodb/presto
apache/hive
apache/hudi
delta-io/delta
apache/hbase
maropu/spark-tpcds-datagen
apache/iceberg-docs
tabular-io/docker-spark-iceberg
apache/spark
apache/ranger
apache/hadoop
apache/iceberg
apache/parquet-mr
apache/iceberg
awslabs/aws-athena-query-federation
Eventual-Inc/Daft
spark-redshift-community/spark-redshift
microsoft/lst-bench
