SparkViewEngine/spark
henon/GitSharp
mvccontrib/MvcContrib-2
junit-team/junit4
JetBrains/kotlin
JetBrains/kannotator
jbrains/trivia
asudbury/NinjaCoderForMvvmCross
MvvmCross/MvvmCross
DefinitelyTyped/DefinitelyTyped
mknapik/ideakeyscheme
github/gitignore
Homebrew/legacy-homebrew
JetBrains/kotlin-web-site
Homebrew/homebrew-cask
leprosus/kotlin-hashids
trylimits/Eclipse-Postfix-Code-Completion
holman/dotfiles
matthewmueller/dots
impressiver/homebrew-completions
adestefan/homebrew-headonly
webpro/reveal-md
hakimel/reveal.js
uaihebert/uaicriteria
adityam/pandoc-templates
Rightpoint/Griddle
eugenkiss/kotlinfx
giorgiosironi/game-of-life-modern-java
TinyMission/kara
google/guava
ehyche/pjlink-cocoa
kevholditch/StronglyTypedContext
Homebrew/homebrew-core
SpecFlowOSS/SpecFlow
Kotlin/anko
couchbase/couchbase-lite-java-core
couchbase/couchbase-lite-java
cheptsov/kotlin-nosql
stroebjo/autohotkey-windows-mac-keyboard
shekhargulati/99-problems
Kotlin/KEEP
kohesive/klutter
ReactiveX/RxKotlin
czechboy0-deprecated/Express-4x-Typescript-Sample
devktor/jsonrpc-node
riy/degraph
Ermlab/scrumlab
danthegoodman/gradle-capsule-plugin
mikecroft/payara-micro-docker-compose
zeroturnaround/zt-exec
jeremywrnr/git-reclone
MeirionHughes/template-lint
aurelia/template-lint
MeirionHughes/gulp-aurelia-template-lint
MeirionHughes/gulp-template-lint
microsoft/tslint-microsoft-contrib
denofevil/AureliaStorm
auxilium/i18next-editor
ben-manes/gradle-versions-plugin
lukeautry/tsoa
couchbaselabs/CouchbaseLiteViewer
RPi-Distro/pi-gen
someposer/homebrew-mmbd
BrowserSync/browser-sync
psake/psake
buzinas/tslint-eslint-rules
sbooth/Max
8eni/angular-es6-webpack-starter
Edditoria/markdown-plus-plus
aurelia/skeleton-navigation
jlongster/backend-with-webpack
winstonjs/winston
Homebrew/homebrew-cask-fonts
jnlin/airplanemode
Fyrd/caniuse
JosePaumard/jdk8-stream-rx-comparison
jenkinsci/workflow-aggregator-plugin
AdoptOpenJDK/homebrew-openjdk
micronaut-projects/micronaut-core
schwedenmut/AnzeigenChef-Mac
motom001/DoorPi
OpenAPITools/openapi-generator
OpenAPITools/openapi-generator-cli
JLLeitschuh/kotlin-guiced
pdehn/idea-plugin-flatbuffers
google/flatbuffers
jenv/jenv
akullpp/awesome-java
angryip/ipscan
moment/luxon
jensb89/CutListCreatorX
toptal/gitignore.io
tastejs/todomvc
Abnaxos/markdown-doclet
crushcoder/otr-docker
m23project/otrcut.sh
crushcoder/multicut_light-1
AntonyCorbett/OnlyM
natevw/pi-spi
ActivityWatch/aw-watcher-web
JetBrains/resharper-xunit-templates
JMousqueton/streamdeck-zoom-plugin
jhelvy/splitKbCompare
ma1co/OpenMemories-Tweak
ma1co/OpenMemories-Platform
git/git
thomaseichinger/homebrew-embedded
felixse/Woop
apache/commons-beanutils
springdoc/springdoc-openapi-demos
SynoCommunity/spksrc
bleroy/core-imaging-playground
advplyr/audiobookshelf
advplyr/audiobookshelf-app
audiobookshelf/audiobookshelf-web
hedgedoc/hedgedoc
ActivityWatch/aw-watcher-afk
nick81nrw/PVTools
mermaid-js/mermaid
plantuml/plantuml
knxd/knxd
microsoft/ApplicationInsights-dotnet
RehanSaeed/Serilog.Enrichers.Span
IvanMathy/Boop
prometheus-net/prometheus-net
gitattributes/gitattributes
kodybrown/sortxml
ergoz/jellyfin-intro-skipper
jellyfin/jellyfin
Richienb/gitattributes-generator
serilog/serilog-settings-configuration
serilog/serilog-enrichers-environment
serilog/serilog
serilog-contrib/serilog-sinks-applicationinsights
serilog/serilog-aspnetcore
serilog/serilog-sinks-console
domaindrivendev/Swashbuckle.AspNetCore
claytonjn/hass-circadian_lighting
schananas/practical-reactor
ctongfei/progressbar
izhangzhihao/intellij-rainbow-brackets
jonathanlermitage/intellij-extra-icons-plugin
microsoft/winget-pkgs
Paraphraser/IOTstackAliases
amitdev/PMD-Intellij
