Azure/Azure-DataFactory
ppatierno/azuresblite
goldshtn/linux-tracing-workshop
mathjax/mathjax-node-cli
microsoft/ELL
Azure/doAzureParallel
microsoft/AzureSMR
Azure-Samples/hdinsight-spark-scala-kafka
TechPreacher/IoTEdgeV2-SmartCitySensor-Sample
IBM/spark-tpc-ds-performance-test
Azure/AI-PredictiveMaintenance
Azure/AzureChestXRay
Azure/azure-quickstart-templates
michalmar/ai-ml-labs
AbsaOSS/spline
mspnp/spark-monitoring
drcrook1/AI_Accelerators_Quality
microsoft/MLOpsPython
microsoft/DataOps
Azure/azure-storage-fuse
microsoft/azure-pipelines-extensions
feast-dev/feast
helm/charts
docker/docs
dotnet-state-machine/stateless
Azure-Samples/digital-twins-explorer
Azure-Samples/Iot-Telemetry-Simulator
dotnet/aspnet-api-versioning
Azure-Samples/iot-edge-opc-plc
Azure/iot-edge-opc-publisher-v1
Azure/Industrial-IoT
toolboc/IoTEdge-DevOps
catenax/tractusx
eclipse-edc/Connector
microsoft/Purview-ADB-Lineage-Solution-Accelerator
MicrosoftDocs/bi-shared-docs
Azure-Samples/modern-data-warehouse-dataops
Azure/ResourceModules
