swcarpentry/shell-novice
bzliu94/cs61a_fa07
Berkeley-CS61B/skeleton-sp18
junyanz/pytorch-CycleGAN-and-pix2pix
cs88-website/cs88-website.github.io
yanlisa/tmoss
Cal-CS-61A-Staff/examtool
cal-cs184/p2-meshedit-current
kfei/cs61a
OmarShehata/Beginners-Guide-to-Shaders
charlesjsun/cs184-smoke-simulator
aimacode/aima-exercises
kowainik/learn4haskell
kowainik/relude
chrispiech/probabilityForComputerScientists
python/typeshed
facebook/pyre-check
