numpy/numpy
pandas-dev/pandas
scipy/scipy
joblib/joblib
python/cpython
cython/cython
dabeaz/python-cookbook
PacktPublishing/Data-Analysis-and-Exploration-with-Pandas
scikit-learn/scikit-learn
dask/dask
pyqtgraph/pyqtgraph
qtproject/pyside-pyside-setup
opencv/opencv
pytorch/pytorch
Kitware/CMake
jenkinsci/jenkins
qgis/QGIS
KDE/krita
