SpecFlowOSS/SpecFlow
alexkrechik/VSCucumberAutoComplete
MicrosoftDocs/azure-devops-docs
nhsuk/nhsuk-service-manual
nickmerwin/node-coveralls
microsoft/azure-pipelines-tasks
spring-projects/spring-data-rest
nhn/tui.editor
NewRedo/express-user-accounts
timknip/pyswf
phulin/shorts-ui
DefinitelyTyped/DefinitelyTyped
geerlingguy/ansible-role-elasticsearch
bibanon/tubeup
blackjack4494/yt-dlc
jjjake/internetarchive
ruffle-rs/ruffle
node-saml/passport-saml
chimurai/http-proxy-middleware
typescript-eslint/typescript-eslint
keystonejs/keystone
compdemocracy/polis
raineorshine/npm-check-updates
androizer/ngx-dynamic-breadcrumb
OData/WebApi
danielyxie/vscode-kolmafia-ash
github-linguist/linguist
tapjs/tapjs
Loathing-Associates-Scripting-Society/philter
ruffle-rs/ruffle-rs.github.io
sindresorhus/normalize-url
rust-lang/rust
ruffle-rs/rust-flash-lso
michaeldoye/mat-progress-buttons
dirs-dev/dirs-rs
kolmafia/kolmafia
twbs/bootstrap
docker/compose
joshdick/onedark.vim
prettier/prettier
vvo/iron-session
vercel/next.js
eslint-community/eslint-plugin-promise
syavorsky/comment-parser
npgsql/efcore.pg
eksctl-io/eksctl
mozilla/rhino
angular/components
loathers/ChIT
mozilla/firefox-translations
loathers/garbage-collector
loathers/locket-ui
gausie/excavator
covert-code/WitchessSolver
remix-run/remix
Ezandora/Genie
Ezandora/Helix-Fossil
Ezandora/Asdon-Martin-GUI
Ezandora/Bastille
Ezandora/Voting-Booth
loathers/autoscend
loathers/museum
hashicorp/terraform-provider-aws
loathers/TourGuide
Ezandora/Gain
Ezandora/FantasyRealm
Ezandora/PirateRealm
loathers/freecandydotexe
RhombusWeasel/terminal-assistant
kolmafia/kolmafia-ingest
loathers/crimbo
