bayesgroup/deepbayes-2018
DaSE-DBMS/MMORPG
rtqichen/beta-tcvae
gexrior/LeveldbFinalDemo
apache/mxnet
jacklightChen/final-assignment-open-source
pyro-ppl/pyro
pytorch/pytorch
d2l-ai/d2l-en
JavierAntoran/Bayesian-Neural-Networks
mhstrongman/advml2020
jhuggins/viabel
pyro-ppl/numpyro
team-approx-bayes/dnn2gp
hendrycks/outlier-exposure
ratschlab/bnn_priors
stan-dev/posteriordb
dilinwang820/Stein-Variational-Gradient-Descent
blackjax-devs/blackjax
mufeili/mufeili.github.io
google/jax
EddieCunningham/generax
justindomke/pangolin
