capooti/geodjango-tutorial
althalus/django-simplemenu
rpc4django/rpc4django
jlao/wp-category-posts-widget
TileStache/TileStache
simplegeo/polymaps
edebill/PCF8583
garthoff/rtclib
geopy/geopy
openlayers/ol2
maniacbug/RF24Network
simpleavr/boot430
relet/kivyMaps
matthiask/django-newsletter-subscription
qgis/QGIS-Web-Client
qgis/QGIS
joomla/joomla-cms
directeur/django-sorting
Kozea/pygal
Kozea/WeasyPrint
mbi/django-rosetta
arnabwahid/wordpress-bootstrap
qgis/QGIS-Enhancement-Proposals
qgis/QGIS-Documentation
qgis/QGIS-Website
django-cms/django-cms
gsuez/master-bootstrap-3
ipython/ipython
g-sherman/Qgis-Plugin-Builder
grvhi/feedjack
woocommerce/FlexSlider
postgis/postgis
thunderace/Esp8266-Arduino-Makefile
adobe-accessibility/Accessible-Mega-Menu
elvanderb/TCP-32764
kartoza/docker-qgis-server
planetfederal/qgis-tester-plugin
auth0/auth0-python
regebro/hovercraft
platformio/platformio-core
planetfederal/qgis-testing-environment-docker
planetfederal/qgis-geoserver-plugin
BergWerkGIS/QGIS-CKAN-Browser
qgis/QGIS
VulcanTechnologies/oauth2lib
BergWerkGIS/QGIS-CKAN-Browser
planetfederal/qgis-connect-plugin
planetfederal/qgis-geoserver-plugin
kartoza/docker-geogig
planetfederal/qgis-webappbuilder-plugin
QGIS-Contribution/QGIS-ResourceSharing
munshikamran/simples3
github/gitignore
3liz/qgis-wps4server
sourcepole/qgis-wps-client
opengisch/osgeo4travis
kbytesys/django_comuni_italiani
tutorcruncher/django-bootstrap3-datetimepicker
cybermonde/odtphp
gisquick/gisquick
jancelin/docker-lizmap
opengisch/OSGeo4A
inasafe/inasafe
gisce/openerp-client-kde
django/django-localflavor
g3w-suite/g3w-admin
planetfederal/qgis-reports-plugin
planetfederal/qgissysinfo
SAML-Toolkits/python-saml
gitpitch/in-60-seconds
enikesha/django-ratings
OSGeo/gdal
g3w-suite/g3w-suite-docker
kartoza/docker-postgis
opengisch/qgis-docker
g3w-suite/g3w-admin-caching
makinacorpus/django-leaflet
radiantearth/community-sprints
opengeospatial/ogcapi-features
mxe/mxe
opengisch/QField
qgis/pyqgis
LuaDist/libsqlite3
zynaddsubfx/user-manual
heigeo/leaflet.wms
CNR-IGAG/mzs-tools
qgis/QGIS-Server-PerfSuite
Lor-Saba/Code-Injector
MerginMaps/mobile
GIScience/openrouteservice
boxine/django-huey-monitor
CNR-IGAG/cle-tools
noaa-ocs-hydrography/qgis-raster-attribute-table-plugin
hotosm/underpass
ConservationInternational/trends.earth
helixarch/subedit
stevemarple/Calunium
3liz/lizmap-docker-compose
gtergeomatica/lizmap-docker-compose
