gdagley/esv_bible
xtyler/reflex-framework
olsonjj/Flex-4.5-Android-Component-Library
xamarin/mobile-samples
jplayer/jPlayer
grumpydev/TinyIoC
cyrildiagne/Shine-MP3-Encoder-on-AS3-Alchemy
mattdiamond/Recorderjs
pwalczyszyn/nativeapplicationupdater
create-dmg/create-dmg
jstedfast/MonoTouch.SQLite
gruntjs/grunt
remy/polyfills
lojjic/PIE
es-shims/es5-shim
facebookarchive/IndexedDB-polyfill
indexeddbshim/IndexedDBShim
openbibleinfo/Bible-Passage-Reference-Parser
xamarin/ios-samples
xamarin/mini-hacks
benbishop/MonkeyArms
slodge/BallControl
xamarin/AngryNinjas
LogosBible/V8Helper
pkoscierzynski/NativeMailExtension
katopz/ane-device-file-util
HiWill/as3isolib_starling
imaginary-cloud/CameraManager
JeffBNimble/LoLBookOfChampions-ios-sqlite
JakeLin/SwiftLanguageWeather
jamesmontemagno/MyWeather.Forms
xamarin/Xamarin.Forms
PrismLibrary/Prism
microsoft/BikeSharing360_MobileApps
xamarin/Xamarin.Forms.CarouselView
xamarin/XamarinCommunityToolkit
XAM-Consulting/PerformancePlayGround
veridit/xfxp
hartez/FormsEmbeddingPreview
jamesmontemagno/Hanselman.Forms
jsuarezruiz/xamarin-forms-channel9-sample
SuavePirate/Xamarin.Flux
SuavePirate/SuaveControls.MaterialFormControls
SuavePirate/FluxToolkit
Samsung/tizen-docs
jimmgarrido/KioskDemo
fabulous-dev/Fabulous
goldnarms/zeplin-extension-xamarin.forms
Baseflow/XamarinMediaManager
matteobortolazzo/HtmlLabelPlugin
hartez/TeamBuilderDemo
ylatuya/XAMLator
jsuarezruiz/xamarin-forms-gtk-movies-sample
sthewissen/KickassUI.ParallaxCarousel
pauldipietro/CollectionViewSample
pauldipietro/CollectionViewChallenge
MicrosoftDocs/xamarin-docs
xamarindevelopersummit/XamDevSummit2019
dotnet/Comet
xamcat/xam-twitch
pauldipietro/CarouselViewChallenge
jamesmontemagno/Xamarin.Forms-Monkeys
dotnet-presentations/dotnetconf2019
xamarin/xamarin-forms-samples
sumitsisodia007/ConferenceVision
valentineg8/PlacesApp
dotnet/extensions
dotnet/aspnetcore
dotnet/tye
dotnet/core
jsuarezruiz/xamarin-forms-netflix-sample
LeomarisReyes/BillDetailSample
KSemenenko/ColorThief
kphillpotts/XDtoXF
dotnet-presentations/dotNETConf
Redth/dotnet-maui-check
microsoft/recommenders_engine_example_layout
bijington/pairs
rickyzicky/app-acquaint
snpptsdev/snppts
infinitespace-studios/ChooseYourOwnAdventure
microsoft/SmartHotel360-Mobile
naweed/MauiPlanets
tuyen-vuduc/todo-app-xamarin-forms
adospace/kee-mind
luberda-molinet/FFImageLoading
anucak/splitco
Eilon/MauiHybridWebView
SahanaSShetty/MauiSampleApp
dotnet/maui-samples
xamarin/app-xamarintv
