apache/tvm
mccorby/FederatedAndroidTrainer
mccorby/FederatedServer
JDAI-CV/dabnn
alibaba/MNN
Tencent/PocketFlow
Tencent/ncnn
BUG1989/caffe-int8-convert-tools
aaron-xichen/pytorch-playground
jacobgil/pytorch-pruning
deepfakes/faceswap
google/mediapipe
openxla/iree
KhronosGroup/Vulkan-Guide
KhronosGroup/glslang
HIPS/autograd
googlesamples/android-vulkan-tutorials
skriegman/reconfigurable_organisms
znxlwm/UGATIT-pytorch
Aneureka/animate-me
zj19941113/Face-Recognition-and-Liveness-Detection-Based-on-Infrared-Image-and-Depth-Image
dhruvvyas90/qemu-rpi-kernel
MegEngine/MegEngine
miloyip/json-tutorial
llohse/libnpy
opencv/opencv
xurubin/PAL3CPKUnpack
dontpanic92/OpenPAL3
zhangboyang/PAL3patch
adiitya/p2pstream
syncthing/syncthing-android
JoshuaKissoon/Kademlia
bmuller/kademlia
nihui/ncnn-android-squeezenet
taichi-dev/taichi
jiangwx/DFQ
caishanli/pyncnn
jjakj1/PNA-rust
practical-tutorials/project-based-learning
ssloy/tinyraytracer
nlsandler/write_a_c_compiler
isocpp/CppCoreGuidelines
scarsty/kys-cpp
NervanaSystems/maxas
facebookresearch/pifuhd
open-mmlab/mmagic
OAID/AutoKernel
Tencent/TNN
buildaworldnet/IrrlichtBAW
NVIDIA/CUDALibrarySamples
Irwin-Liu/cudaLearnning
Jack-Cherish/PythonPark
xuebinqin/U-2-Net
OAID/Tengine
coder2gwy/coder2gwy
buchgr/bazel-remote
stong/CVE-2021-3156
oneapi-src/oneTBB
GStreamer/gstreamer
MegEngine/Documentation
MegEngine/Models
facebook/folly
openai/CLIP
MustaphaTR/Romanovs-Vengeance
OpenRA/ra2
BUG1989/tengine-docs-en
jynew/jynew
clovaai/CRAFT-pytorch
JaidedAI/EasyOCR
ucphhpc/pygdb
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
taskflow/taskflow
numpy/numpy
huanghoujing/AlignedReID-Re-Production-Pytorch
megvii-research/MEMD
eyalz800/serializer
pytorch/pytorch
nbdd0121/stackful
bilibili/flv.js
ysh329/ysh329
BBuf/BBuf
Nelarius/imnodes
Easonzero/rust-ffmpeg-sys
Easonzero/rust-ffmpeg
rust-lang/rust
rcxxx/MegFlow
pykaldi/pykaldi
Feynman1999/basicVSR_mge
scarsty/ncnn-editor
Yinghan-Li/YHs_Sample
OpenMathLib/OpenBLAS
KomputeProject/kompute
google/uVkCompute
JD331/JD331
google/benchmark
open-mmlab/mmdetection
open-mmlab/mmdeploy
open-mmlab/mmpretrain
lutzroeder/netron
openppl-public/ppq
weopenprojects/WeOpen-Star
open-mmlab/mmocr
RangiLyu/nanodet
megvii-research/FQ-ViT
DDGRCF/YOLOX_OBB
open-mmlab/pre-commit-hooks
skystrife/cpptoml
taichi-dev/taichi-aot-demo
WeNeedHome/SummaryOfLoanSuspension
taichi-dev/voxel-challenge
open-mmlab/mmdetection3d
Swall0w/torchstat
open-mmlab/mmcv
MegEngine/MegPeak
Ai-Thinker-Open/Ai-Thinker-Open_ESP32-CAMERA_LAN
MegEngine/examples
liu-mengyang/rust-mmdeploy-sys
liu-mengyang/rust-mmdeploy
Einsteinish/Docker-Compose-Prometheus-and-Grafana
wonseokroh/TransFusion
MegEngine/MegCC
MegEngine/cutlass
rust-ncnn/rust-ncnn.github.io
aliyun/aliyun-oss-python-sdk
nihui/imagenet-sample-images
jetsonhacks/jetsonUtilities
googleapis/google-api-python-client
PlexPt/awesome-chatgpt-prompts-zh
karpathy/nanoGPT
rhinouser0/riverpass
sipeed/sipeed_wiki
EdVince/Stable-Diffusion-NCNN
AXERA-TECH/ax-pipeline
qwopqwop200/GPTQ-for-LLaMa
ggerganov/ggml
THUDM/ChatGLM-6B
ggerganov/llama.cpp
tatsu-lab/stanford_alpaca
tloen/alpaca-lora
huggingface/peft
deep-diver/LLM-As-Chatbot
huggingface/transformers
mlc-ai/web-llm
wenda-LLM/wenda
luqiang-guo/ad_lib
BlinkDL/ChatRWKV
jiahansu/GPUAR
mlc-ai/tokenizers-cpp
lzhangzz/FasterTransformer
MegEngine/InferLLM
nlohmann/json
InternLM/lmdeploy
LlamaFamily/Llama2-Chinese
MegEngine/mperf
ymcui/Chinese-LLaMA-Alpaca-2
advimman/lama
open-mmlab/mmpose
0xlane/WeChatHelperDll
hwchase17/notion-qa
InternLM/xtuner
AXERA-TECH/pulsar2-docs
hankcs/HanLP
QwenLM/Qwen
ljc545w/ComWeChatRobot
InternLM/InternLM
bojone/rerope
01-ai/Yi
SakuraLLM/Sakura-13B-Galgame
jquesnelle/yarn
LC044/WeChatMsg
kendryte/k230_sdk
InternLM/agentlego
open-compass/opencompass
karpathy/llama2.c
InternLM/OpenAOE
forward3d/sogou-search-api
Ucas-HaoranWei/Vary-toy
Ucas-HaoranWei/Vary
wechaty/python-wechaty-template
deepseek-ai/awesome-deepseek-integration
deepseek-ai/DeepSeek-LLM
InternLM/HuixiangDou
