FreddieWitherden/libqmarkedscrollbar
TeXworks/texworks
Homebrew/homebrew-core
RTimothyEdwards/XCircuit
texstudio-org/texstudio
martonmiklos/qt_zoomable_chart_widget
ckb-next/ckb-next
msys2/MINGW-packages
microsoft/vcpkg
