espressif/arduino-esp32
espressif/esp-idf
andrewrk/tetris
ziglang/zig
ziglang/www.ziglang.org
andrewrk/clashos
ziglang/zig-bootstrap
zigtools/zls
f4pga/f4pga-arch-defs
justinbalexander/svd2zig
ratfactor/ziglings
zig-community/user-map
SerenityOS/serenity
SerenityOS/jakt
