mozilla/sphinx-js
tonysyu/mpltools
HDFGroup/hsds
jupyterlab/jupyterlab-data-explorer
pmndrs/react-three-fiber
d3/d3-scale-chromatic
elxris/Turnip-Calculator
jupyterlab/jupyterlab-hdf5
silx-kit/pyFAI
bokeh/bokeh
reactjs/server-components-demo
zillow/react-slider
DefinitelyTyped/DefinitelyTyped
jupyterlab/extension-cookiecutter-ts
jupyterlab/mimerender-cookiecutter-ts
jupyterlab/jupyterlab
c4urself/bump2version
nteract/testbook
jupyterlab/retrolab
pmndrs/website
HDFGroup/h5pyd
usnistgov/h5wasm
h5py/h5py
readthedocs/readthedocs.org
vasole/pymca
pytest-dev/pytest-qt
