awesomeWM/awesome
cdump/awesome-shifty
HazyResearch/deepdive
hakimel/reveal.js
afonsopacifer/flex-grid-framework
eclipse/paho.mqtt.python
lunarmodules/ldoc
adityam/pandoc-templates
denilsonsa/vim-emoji-complete
clementfarabet/manifold
torch/trepl
xbmc/Kore
xbmc/xbmc
matze/mtheme
IDSIA/sacred
xfce-mirror/xfce4-xkb-plugin
jurialmunkey/skin.aura
spaceship-prompt/spaceship-prompt
apache/airflow
tensorflow/docs
tensorflow/docs
scalapb/ScalaPB
marcuslonnberg/sbt-docker
scalapb/sparksql-scalapb
typelevel/frameless
apache/airflow
scalapb/common-protos
terraform-google-modules/terraform-google-cloud-storage
