microsoft/Windows-universal-samples
microsoft/vscode-react-native
microsoft/vscode-chrome-debug-core
DefinitelyTyped/DefinitelyTyped
microsoft/appcenter-cli
facebook/react-native
microsoft/vscode-cordova
microsoft/react-native-windows
microsoft/vscode-chrome-debug
microsoft/MS-DOS
bk201-/jira-prepare-commit-msg
Azure/azure-notificationhubs-dotnet
Azure/azure-notificationhubs-java-backend
Azure/azure-mobile-services
Azure/azure-notificationhubs
soninaren/azure-mobile-apps-android-client
xamarin/XamarinComponents
asyraffff/readme-with-video
softprops/action-gh-release
