apache/mxnet
aurora95/Keras-FCN
python-pillow/Pillow
dmlc/xgboost
aws/sagemaker-spark
dmlc/dmlc-core
aws/amazon-sagemaker-examples
ray-project/ray
ray-project/ray
aws/sagemaker-python-sdk
aws/sagemaker-rl-container
criteo-research/reco-gym
awarebayes/RecNN
theanalyst/awesome-distributed-systems
ctgk/PRML
lancifollia/tinygbt
dmlc/rabit
aviralkumar2907/BEAR
chiphuyen/machine-learning-systems-design
banditml/offline-policy-evaluation
ronilbhatia/EasyTrade
aws/amazon-sagemaker-examples
aws/deep-learning-containers
aws/sagemaker-tensorflow-training-toolkit
aws-samples/sagemaker-rl-procgen-ray
quovadim/RL-Cache
ray-project/xgboost_ray
