zmanda/amanda
signal11/hidapi
edorfaus/TEMPered
fail2ban/fail2ban
jtriley/StarCluster
bd808/python-iptools
shazow/workerpool
scipy/scipy
PointCloudLibrary/pcl
Unidata/netcdf-c
FreeRDP/Remmina
shogun-toolbox/shogun
laurikari/tre
Unidata/netcdf4-python
ipython/ipython
jjmartres/Zabbix
hoelzro/lua-term
wmcbrine/pytivo
zeux/pugixml
open-mpi/ompi
Starlink/starlink
arodier/Roundcube-Plugins
open-mpi/ompi-release
FreeRDP/FreeRDP
MRPT/mrpt
google/double-conversion
autoconf-archive/autoconf-archive
roundcube/roundcubemail
grisha/mod_python
google/google-apputils
igfuw/libmpdataxx
cobbler/cobbler
pypa/virtualenv
diyan/pywinrm
astropy/astropy
swig/swig
stevengj/nlopt
TACC/Lmod
fedora-infra/fedmsg_meta_fedora_infrastructure
jupyter/jupyter_core
Kitware/MetaIO
nirvdrum/svn2git
ansible/ansible
ansible/ansible-modules-core
ansible/ansible-modules-extras
pytest-dev/pytest-cov
UDST/ansible-conda
conda/conda
rpm-software-management/librepo
Unidata/netcdf-fortran
pandas-dev/pandas
enthought/pyface
enthought/mayavi
OpenVPN/openvpn
OpenMathLib/OpenBLAS
rpmfusion/nvidia-304xx-kmod
linode/docs
cython/cython
rpmfusion/exfat-utils
rpmfusion/fuse-exfat
scikit-image/scikit-image
mwilliamson/spur.py
FrostyX/tracer
SHTOOLS/SHTOOLS
spack/spack
ccache/ccache
AppImage/AppImageKit
libevent/libevent
ansible-lockdown/RHEL7-STIG
Macaulay2/mathicgb
qgis/QGIS
opencollab/arpack-ng
python-xlib/python-xlib
AvtechScientific/ASL
pycurl/pycurl
GrahamDumpleton/mod_wsgi
qtop/qtop
ArcticaProject/nx-libs
protocolbuffers/protobuf
wjoye/tkmpeg
cobbler/koan
rpm-software-management/mock
enGits/engrid
libvirt/libvirt
marcelloc/Unofficial-pfSense-packages
pfsense/FreeBSD-ports
rsyslog/rsyslog
OpenNMS/opennms
CISOfy/lynis
Matty9191/ssl-cert-check
ansiblebit/macports
syslog-ng/syslog-ng
macports/macports-ports
Snaipe/Criterion
e2guardian/e2guardian
gnudatalanguage/gdl
keepassx/keepassx
ZoneMinder/zoneminder
OPENDAP/libdap
OPENDAP/libdap4
OPENDAP/bes
freeipa/freeipa
elastic/beats
urllib3/urllib3
backuppc/backuppc
CERN-CERT/pam_2fa
geerlingguy/ansible-role-mas
Yubico/yubico-piv-tool
nco/nco
NCAR/VAPOR
googleapis/oauth2client
Cisco-Talos/clamav
inveniosoftware/dictdiffer
mwclient/mwclient
wolph/python-progressbar
Changaco/python-libarchive-c
NCAR/ncl
yunsou/security
Unidata/netcdf-cxx4
pytest-dev/pytest-asyncio
rpm-software-management/rpm
ComplianceAsCode/content
staticlibs/fedora-pkgconf-test
iTaybb/pySmartDL
pfelk/pfelk
rdesktop/rdesktop
luaposix/luaposix
ansible-collections/community.general
mitogen-hq/mitogen
wrf-model/WRF
h5py/h5py
NOAA-EMC/NCEPLIBS-sp
libimobiledevice/usbmuxd
dun/munge
apache/thrift
authselect/authselect
evandam/evandam.conda
chocolatey-community/chocolatey-packages
aragilar/pytest-mpi
HDFGroup/hdf5
enthought/traitsui
zabbix/zabbix
PyWavelets/pywt
chocolatey/chocolatey-ansible
huonw/hamming
ejmahler/strength_reduce
ejmahler/transpose
ejmahler/rust_dct
jasonish/evebox
johannesvollmer/lebe
dgalbraith/chocolatey-packages
qhull/qhull
libharu/libharu
AlmaLinux/leapp-repository
joshinryz/ansible_ldap_inventory
DrTimothyAldenDavis/SuiteSparse
conda/conda-package-streaming
barakat-abweh/TA-pfsense
cobbler/cobbler.github.io
fedora-selinux/selinux-policy
ampl/gsl
xournalpp/xournalpp
OSGeo/gdal
buildbot/buildbot
satiex/splunk_synology_TA
JSOC-SDP/drms
openhpc/ohpc
mikecole/chocolatey-packages
Azure/go-ntlmssp
jupyterhub/jupyterhub
malaterre/GDCM
dyninst/dyninst
gevent/gevent
mkleehammer/pyodbc
j-m-adams/GrADS
Hibbiki/chromium-win64
cp2k/dbcsr
cp2k/cp2k
texmacs/texmacs
scikit-build/scikit-build
rra/kstart
mamba-org/mamba
pfsense/pfsense
pfsensible/core
HDFGroup/hdf4
