twitter/AnomalyDetection
dmlc/xgboost
scikit-learn-contrib/metric-learn
robjhyndman/forecast
topepo/caret
pandas-dev/pandas
apache/mxnet
jtoy/awesome-tensorflow
tensorflow/skflow
ggplot2-exts/gallery
pydata/pydata-cookbook
rstudio/reticulate
aymericdamien/TensorFlow-Examples
tensorflow/transform
mmcgrana/gobyexample
eddelbuettel/ctv-hpc
kat-co/concurrency-in-go-src
rweekly/rweekly.org
tensorflow/tensorflow
microsoft/SynapseML
xgboost-ai/xgboost-ai.github.io
tensorflow/model-analysis
alipay/jpmml-sparkml-lightgbm
apache/beam
tensorflow/data-validation
tensorflow/estimator
tensorflow/docs
cosname/cosx.org
tensorflow/io
tensorflow/community
cspa-exam/tsc
kubeflow/website
kubeflow/internal-acls
kubernetes/kubernetes
kubeflow/training-operator
kubeflow/pipelines
kubeflow/arena
kubeflow/kubeflow
rstudio/tfestimators
kubeflow/metadata
kubeflow/xgboost-operator
kubeflow/community
kubeflow/katib
horovod/horovod
sql-machine-learning/elasticdl
kleveross/ftlib
rstudio/tfhub
rstudio/tensorflow
kubeflow/mpi-operator
katib-examples/evaluation
r-lib/lobstr
kubeflow/mxnet-operator
argoproj-labs/community
tensorflow/addons
kubernetes-client/python
kubeflow/manifests
kubeflow/common
kubeflow/testing
argoproj-labs/argo-client-python
kubeflow/community-infra
d2l-ai/d2l-en
rstudio/ai-blog
argoproj/argoproj
opsgang/ga-setup-minikube
kubeflow/examples
couler-proj/couler
pditommaso/awesome-pipeline
meirwah/awesome-workflow-engines
josephmisiti/awesome-machine-learning
EthicalML/awesome-production-machine-learning
vinta/awesome-python
lfai/lfai-landscape
cncf/landscape
gsoc-cn/gsoc-cn
sql-machine-learning/sqlflow
argoproj/argo-cd
argoproj/argo-events
argoproj/argo-rollouts
argoproj/argo-site
h2oai/h2o4gpu
argoproj-labs/friends
argoproj-labs/training-material
GoogleCloudPlatform/oss-test-infra
argoproj-labs/old-argo-dataflow
argoproj/argo-helm
argoproj/notifications-engine
crossplane/crossplane
crossplane-contrib/provider-gcp
upbound/platform-ref-multi-k8s
crossplane/crossplane-runtime
argoproj/argocon21
grpc/grpc-go
bharathgs/Awesome-Distributed-Deep-Learning
cran-task-views/ctv
argoproj/argo-workflows
cncf/mentoring
cncf/cncf-fuzzing
cncf/gitdm.archive
argoproj/gitops-engine
google/oss-fuzz
tensorchord/envd-docs
tensorchord/envd
argocon2022-workshop/control-plane
rstudio/tensorflow.rstudio.com
d2l-ai/d2l-zh
rstudio/keras
tensorchord/Awesome-LLMOps
kserve/kserve
kserve/website
DovAmir/awesome-design-patterns
learn-anything/books
ramitsurana/awesome-kubernetes
HuaizhengZhang/Awesome-System-for-Machine-Learning
cncf/foundation
cncf/gitdm
opendatahub-io/org-management
kserve/community
opendatahub-io/odh-model-controller
opendatahub-io/caikit-tgis-serving
vllm-project/vllm
kserve/rest-proxy
kserve/modelmesh-runtime-adapter
kserve/modelmesh-serving
