mdn/browser-compat-data
angular/angular
swagger-api/swagger-codegen
swagger-api/swagger-codegen-generators
jeroenheijmans/sample-angular-oauth2-oidc-with-auth-guards
compodoc/compodoc-demo-todomvc-angular
manfredsteyer/angular-oauth2-oidc
kubedb/cli
coreui/coreui-angular
picqer/moneybird-php-client
Azure/azure-storage-php
coreui/coreui-free-angular-admin-template
AzureAD/microsoft-authentication-library-for-js
ionic-team/ionic-framework
OpenAPITools/openapi-generator
mautic/mautic
mautic/api-library
desktop/desktop
mautic/developer-documentation
symfony/symfony
desktop/dugite
ionic-team/capacitor
electron/electron-quick-start
electron-userland/electron-webpack-quick-start
Squirrel/Squirrel.Windows
nestjs/swagger
nestjs/docs.nestjs.com
mautic/mautic-community-handbook
electron/windows-installer
mautic/statsapp
SatelliteWP/rocket-nginx
nodejs/node
ddev/ddev
drud/ddev-images
mautic/mautic-community-knowledgebase
alanhartless/my-github
FiloSottile/mkcert
mailhog/MailHog
nginx-proxy/docker-gen
signalapp/Signal-Desktop
signalapp/signal-zkgroup-node
signalapp/zkgroup
signalapp/ringrtc
php-stubs/woocommerce-stubs
FiloSottile/mkcert
mailhog/MailHog
nginx-proxy/docker-gen
atom/node-keytar
desktop/registry-js
nodejs/node-gyp
lovell/sharp
nestjs/nest
actions/runner
neon-bindings/neon
git-ecosystem/git-credential-manager
desktop/dugite-native
electron-userland/spectron
prebuild/prebuild
msys2/MSYS2-packages
git-for-windows/MINGW-packages
GerbilSoft/rom-properties
git-for-windows/build-extra
nodejs/gyp-next
git-for-windows/git
signalapp/signal-ringrtc-node
node-ffi-napi/node-ffi-napi
signalapp/libsignal
Decathlon/release-notes-generator-action
git-for-windows/setup-git-for-windows-sdk
travis-ci/docs-travis-ci-com
electron-userland/electron-builder
develar/app-builder
inspiredware/napi-build-utils
node-ffi-napi/ref-napi
Janealter/ref-array-napi
journeyapps/node-sqlcipher
TryGhost/node-sqlite3
sqlcipher/sqlcipher
mapbox/node-pre-gyp
prebuild/prebuild-install
capacitor-community/bluetooth-le
ionic-team/capacitor-plugins
RaphaelWoude/ionic-capacitor-example
RaphaelWoude/capacitor-native-settings
SparkPost/php-sparkpost
FriendsOfSymfony/FOSOAuthServerBundle
Swapptoo/mautibox
mautic/BazingaOAuthServerBundle
joomla-framework/filter
mautic/core-lib
w3tecch/typeorm-seeding
typeorm/typeorm
signalapp/libsignal-client-node
signalapp/better-sqlite3
mautic/docker-mautic
develar/7zip-bin
microsoft/vcpkg
electron/electron
signalapp/webrtc
microsoft/vscode-filewatcher-windows
sass/node-sass
git-lfs/git-lfs
electron/electron
Homebrew/linuxbrew-core
Homebrew/homebrew-core
mautic/plugin-helloworld
npm/cli
mautic/mautic-documentation
WiseLibs/better-sqlite3
rust-lang/cc-rs
confluentinc/kafka-images
confluentinc/common-docker
mock-server/mockserver
Automattic/node-canvas
rust-lang/rust
retep998/winapi-rs
DefinitelyTyped/DefinitelyTyped
mautic/user-documentation
strapi/strapi
ONLYOFFICE/DesktopEditors
Crimix/ChangedProjectsTaskPlugin
strapi/codemods
boostorg/context
git-for-windows/WinToast
git-for-windows/git-for-windows-automation
git-for-windows/git-sdk-64
git-for-windows/git-sdk-64
photoprism/photoprism
git-for-windows/busybox-w32
moberwasserlechner/capacitor-oauth2
javalin/javalin-openapi
