ReactiveCocoa/ReactiveCocoa
mxcl/PromiseKit
AFNetworking/AFNetworking
oclint/oclint
pedrovgs/TuentiTV
tuenti/python-repoman
tuenti/TMDebugConsole
tuenti/ButtonMenu
tuenti/TMInstanceMethodSwizzler
jonreid/OCMockito
