tuttleofx/sconsProject
mrdoob/three.js
alexkh/slidewalk
dorian3d/DBoW2
dorian3d/DLoopDetector
serban/kmeans
openMVG/openMVG
laurentkneip/opengv
simonfuhrmann/mve
amonszpart/RAPter
hkust-vgd/ElasticReconstruction
LeoYao/glm
libglui/glui
opencv/opencv
alicevision/popsift
willyd/appveyor-cuda-test
alicevision/AliceVision
alicevision/alembic
jbhuang0604/awesome-computer-vision
alicevision/CCTag
Theverat/NormalmapGenerator
CGAL/cgal
EncovGroup/svd3
natowi/meshroom-manual-old
sofa-framework/sofa
viorik/ELSDc
AcademySoftwareFoundation/OpenImageIO
alicevision/meshroom-manual
microsoft/vcpkg
conan-io/docs
flanggut/smvs
nmoehrle/mvs-texturing
ejurquet/ScanRig
mapillary/OpenSfM
AprilRobotics/apriltag
Knio/SmallptGPU
matt77hias/cpp-smallpt
matt77hias/cu-smallpt
psc0628/NBV-Simulation
simogasp/NBV-Simulation
HappyCerberus/book-cpp-algorithms
dennisl88/homography_art
