scalacenter/bloop
VirtusLab/scala-cli
romanowski/scala-cli-ides-testcases
VirtusLab/scala-cli-scala-versions
build-server-protocol/build-server-protocol
scala/vscode-scala-syntax
com-lihaoyi/Ammonite
scalacenter/sprees
scalameta/metals
VirtusLab/scala-cli-setup
lampepfl/dotty
VirtusLab/scala-steward-repos
alexarchambault/case-app
coursier/coursier
VirtusLab/scala-cli-signing
scala/scala
scala-cli/bloop-core
VirtusLab/scalafmt-native-image
VirtusLab/coursier-m1
VirtusLab/lightweight-spark-distrib
VirtusLab/java-class-name
VirtusLab/no-crc32-zip-input-stream
VirtusLab/scala-js-cli
