bbatsov/zenburn-emacs
fgeller/emacs-mac-port
stathissideris/ditaa
xuanngo2001/dokuwiki-plugin-plantuml
symbols-worldwide/docker-vagrant-virtualbox
microsoft/GSL
rrthomas/src-emacs-on-debian
geerlingguy/ansible-role-kibana
geerlingguy/ansible-role-logstash
elastic/ansible-elasticsearch
ejoelsso/certbot-dns-he
ipython/ipython
sunrise-commander/sunrise-commander
tuh8888/chezmoi.el
zx2c4/password-store
darcamo/cmake-integration
pypa/virtualenv
twpayne/chezmoi
dbbotkin/Fluke289_data_access
haugene/docker-transmission-openvpn
emacsattic/template
renzmann/treesit-auto
pop-os/repolib
WH-0501/dbus-python
max-boehm/qnap-utils
openwrt/packages
openwrt/odhcpd
mackyle/topgit
sunaku/dasht
