linxside/ncdapi
Shougo/neosnippet-snippets
jarun/nnn
drduh/YubiKey-Guide
Canop/broot
kakounedotcom/connect.kak
andreyorst/powerline.kak
mawww/kakoune
losuler/pihole-dnscrypt-docker
Jean-Tinland/simple-bar
alexherbo2/kakoune.cr
johnmehr/gitup
DES-Lab/AALpy
derric/cleanthesis
NixOS/nixpkgs
sainnhe/everforest
helix-editor/helix
tigerbeetle/tigerbeetle
