zhisheng17/flink-learning
apache/flink
oldmanpushcart/greys-anatomy
japila-books/apache-spark-internals
japila-books/spark-sql-internals
jaceklaskowski/kafka-notebook
NetEase/spark-ranger
NetEase/spark-greenplum
NetEase/spark-alarm
Ngone51/spark-read
apache/kafka
async-profiler/async-profiler
uber-common/jvm-profiler
labuladong/fucking-algorithm
0voice/interview_internal_reference
wangmiao1981/be-a-professional-programmer
scala/scala
apache/lucene
microsoft/hyperspace
apache/hadoop
CyC2018/CS-Notes
Snailclimb/JavaGuide
youngyangyang04/leetcode-master
leesf/hudi-resources
XuQianJin-Stars/StabilityGuide
wangzhiwubigdata/God-Of-BigData
prestodb/presto
airlift/airlift
liul85/patterns-of-distributed-systems
apache/calcite
alibaba/arthas
sqlcore/presto-teach
apache/parquet-mr
oap-project/gazelle_plugin
oap-project/sql-ds-cache
AbsaOSS/spline-spark-agent
blaze-init/blaze
apache/arrow-datafusion
delta-io/delta
google/guava
facebookincubator/velox
apache/spark
apache/incubator-celeborn
trinodb/trino
apache/kyuubi
apache/kyuubi-client
apache/kyuubi-website
apache/ranger
awesome-spark/awesome-spark
apache/doris
apache/hudi
awesome-kyuubi/hadoop-testing
