sparkle-project/Sparkle
AFNetworking/AFgzipRequestSerializer
jflinter/Dwifft
catlan/LOZIPFileWrapper
mattt/Godzippa
antongaenko/UIViewController-KeyboardAnimation
Carthage/Carthage
ReactiveCocoa/ReactiveCocoa
antitypical/Result
youtube/youtube-ios-player-helper
mrcoles/readmd
SwiftGit2/SwiftGit2
pvzig/SlackKit
SFML/CSFML
SFML/SFML
erincatto/box2d
mz2/SCEvents
pinterest/PINCache
nrbrook/NBCoreBluetoothAPIMisuseGuard
PureLayout/PureLayout
airbnb/lottie-ios
apollographql/apollo-ios
ActiveState/appdirs
facebookarchive/remodel
Instagram/IGListKit
pulldown-cmark/pulldown-cmark
apple/swift-format
