LunarVim/onedarker.nvim
navarasu/onedark.nvim
NvChad/nvim-colorizer.lua
TheAlgorithms/Python
tldr-pages/tldr
Macchina-CLI/macchina
Macchina-CLI/libmacchina
SabrinaJewson/rofi-mode.rs
danyspin97/wpaperd
m4xshen/hardtime.nvim
kelly-lin/ranger.nvim
SabrinaJewson/rofi-plugin-sys.rs
comex/rust-shlex
rockerBOO/awesome-neovim
sxyazi/yazi
yazi-rs/yazi-rs.github.io
