fjarnet/greeder
feulf/raintpl
sebsauvage/Shaarli
torch/torch7
ipython/ipython
facebookarchive/iTorch
csiro-scientific-computing/GitCheckpoints
torch/nn
chuckwagoncomputing/fxos-firemote
mozilla-b2g/gaia
kaldi-asr/kaldi
hackEns/VelibFxos
takluyver/redsnail
keras-team/keras
seomoz/qless-core
CGRU/cgru
clemenssielaff/ZodiacGraph
cozy/cozy-docs
data-ens/data-ens.github.io
zignig/blender-gcode-reader
bcpierce00/unison
thelounge/thelounge
graphitemaster/glsl-parser
facebook/folly
LifeWanted/liblw
wonderunit/storyboarder
wonderunit/storyboarder
mavoweb/data
NatronGitHub/Natron
superboubek/bcd
cgwire/zou
elliotwoods/ofxSpout
CGRU/cgru.github.com
mitsuba-renderer/enoki
paceholder/nodeeditor
alextsui05/blender-off-addon
baldurk/renderdoc
facebookresearch/pytorch3d
ivanreese/visual-programming-codex
dcoeurjo/transport-optimal-gdrigrv-11-2020
lighttransport/nanort
libigl/libigl-python-bindings
stuffmatic/fSpy-Blender
gfx-rs/wgpu-rs
viliwonka/KDTree
Neargye/magic_enum
nvpro-samples/vk_raytracing_tutorial_KHR
tell-k/sphinxjp.themes.basicstrap
tkarabela/MfxVTK
AcademySoftwareFoundation/openvdb
nmwsharp/intrinsic-triangulations-tutorial
computational-imaging/ACORN
google/filament
zyedidia/Literate
wetadigital/USDPluginExamples
harfang3d/harfang3d
gpuweb/gpuweb
gfx-rs/wgpu-native
mikbry/awesome-webgpu
g-truc/glm
PixarAnimationStudios/OpenUSD
ocornut/imgui
pradyunsg/furo
fengwang/float16_t
gfx-rs/wgpu
glfw/glfw
BobTheBob9/titanium
nothings/stb
gfx-rs/naga
bluesky-social/social-app
sphinx-doc/sphinx
webgpu-native/webgpu-headers
