android/topeka
bcgit/bc-java
gradle/gradle-profiler
opendata-stuttgart/sensors-software
Kotlin/dokka
opendata-stuttgart/sensor.community
JetBrains/kotlin
google/new-project
pyricau/androidsrc
square/wire
gradle/gradle
androidx/androidx
google/accompanist
google/gson
google/j2objc
protocolbuffers/protobuf
cashapp/paparazzi
tschuchortdev/kotlin-compile-testing
Automattic/pocket-casts-android
autonomousapps/dependency-analysis-gradle-plugin
GoogleCloudPlatform/app-gradle-plugin
cortinico/ktfmt-gradle
Kotlin/kotlinx-benchmark
