mcallegari/qlcplus
codyps/sigrok-overlay
brooss/benchscaw
brooss/krcam
Ardour/ardour
detrout/qt-gstreamer
hhrhhr/Qt-SDL-Joystick
benni0815/SchafKopf
danielkucera/Mixer-gui
timvideos/timvideos.github.io
timvideos/HDMI2USB-jahanzeb-firmware
timvideos/gst-plugins-dvswitch
timvideos/dvsource-v4l2-other
jeremycole/iohist
EliasOenal/multimon-ng
jackaudio/jack2
hexchat/hexchat
psi-im/psi
vasaka/stereograph
candy-chat/candy-plugins
candy-chat/candy
gentoo/gentoo
neilbrown/mdadm
gentoo-audio/audio-overlay
leozide/leocad
OpenLightingProject/ola
lcdproc/lcdproc
corona-warn-app/cwa-documentation
hydrabus/hydrafw
Gielert/NoodleJS
mumble-voip/mumble
winzkigermany/hoerbert-software
gentoo/api-gentoo-org
ytdl-org/youtube-dl
jorgicio/jorgicio-gentoo-overlay
raspberrypi/pico-examples
pidcodes/pidcodes.github.com
OpenLightingProject/rp2040-dmxsun
nRF24/RF24
BastilleResearch/nrf-research-firmware
nRF24/RF24Network
nRF24/RF24Mesh
atomicobject/heatshrink
open-source-parsers/jsoncpp
lwip-tcpip/lwip
libb64/libb64
raspberrypi/picotool
google/snappy
facebook/zstd
madler/zlib
google/brotli
zhipeng-jia/snappyjs
kazuho/picojson
djonasdev/DbContextScope
hathach/tinyusb
raspberrypi/pico-sdk
apriorit/osxcross-sdks
lammertb/libcrc
tpircher-zz/pycrc
andikleen/snappy-c
jostlowe/Pico-DMX
xenonjargarta/Beebee
krystiancha/pico-enc28j60
gentoo/portage
njh/W5500MacRaw
olikraus/u8g2
georgerobotics/cyw43-driver
jeremyevans/aqualung
alexpevzner/sane-airscan
Keychron/qmk_firmware
