google/leveldb
gabime/spdlog
offensive-security/exploitdb
hackerschoice/THC-Archive
danielmiessler/SecLists
swisskyrepo/PayloadsAllTheThings
fuzzdb-project/fuzzdb
offensive-security/exploitdb-bin-sploits
projectdiscovery/subfinder
offensive-security/exploitdb-papers
greenbone/openvas-scanner
aws-cloudformation/cloudformation-guard
