scikit-learn/scikit-learn
mnielsen/neural-networks-and-deep-learning
BVLC/caffe
kelvinxu/arctic-captions
floodsung/Deep-Learning-Papers-Reading-Roadmap
eriklindernoren/ML-From-Scratch
stanfordnlp/cs224n-winter17-notes
apache/spark
apache/mxnet
combust/mleap
IntelLabs/pWord2Vec
salesforce/pytorch-qrnn
aws/sagemaker-containers
aws/amazon-sagemaker-examples
tensorflow/models
TomZahavy/DeepBandit
albietz/cb_bakeoff
ray-project/ray
criteo-research/reco-gym
jimkon/Deep-Reinforcement-Learning-in-Large-Discrete-Action-Spaces
adnanaziz/EPIJudge
hal3/macarico
hal3/reslope
HCDM/BanditLib
qingyun-wu/NonstationaryBanditLib
zhangdianlei/LastFMExp
akshaykr/oracle_cb
wangbx66/contextual-bandit
alison-carrera/onn
qy7171/ec_bandit
Lowpassfilter/clastering_cascade_bandit
h324yang/interactiveCF
aws/sagemaker-python-sdk
theanalyst/awesome-distributed-systems
kang205/SASRec
awarebayes/RecNN
ctgk/PRML
jessicayung/machine-learning-flashcards
gto76/python-cheatsheet
languagetool-org/languagetool
jorgef/engineeringladders
cosmoquester/transformers-bart-pretrain
bigscience-workshop/Megatron-DeepSpeed
pkunlp-icler/ChildTuning
alejandrods/Text-Generation-gpt2
dapascual/K2T
facebookresearch/FiD
lm-sys/FastChat
kyegomez/tree-of-thoughts
stas00/ml-engineering
princeton-nlp/LESS
