pytorch/vision
Tangshitao/ClipShots_basline
wandb/wandb
Synopsis/synopsis.github.io
fastai/fastai2
muellerzr/fastinference
obsidian-ezs/obsidian-ursa
fastai/fastai
fastai/fastcore
airctic/icevision
huggingface/pytorch-image-models
open-mmlab/mmdetection
ultralytics/yolov5
airctic/icedata
kornia/kornia
facebookresearch/Detic
xingyizhou/CenterNet2
huggingface/diffusers
mlfoundations/open_clip
apple/ml-ane-transformers
soCzech/TransNetV2
zineos/blazeface
jayleicn/moment_detr
