angular/angular-seed
github/game-off-2012
wbond/package_control_channel
scalaz/scalaz
VirtusLab/talk-scala-akka-play
romanowski/presentations
JetBrains/intellij-scala
facebook/buck
sbt/zinc
scala/scala
rorygraves/perf_tester
scala/collection-strawman
rorygraves/scalac_perf
torvalds/linux
apache/spark
scalameta/metals
sourcegraph/jetbrains
