microsoft/onnxjs
gmalivenko/pytorch2keras
grey-eye/talking-heads
egorzakharov/PerceptualGAN
victorprad/InfiniTAM
webrtc/apprtc
PointCloudLibrary/pcl
libigl/CoMISo
onnx/onnx-tensorrt
libigl/libigl
davisking/dlib
Tencent/ncnn
vdumoulin/conv_arithmetic
daquexian/onnx-simplifier
cneben/QuickQanava
paceholder/nodeeditor
elliottwu/unsup3d
msorvig/qt-webassembly-examples
thedmd/imgui-node-editor
jettify/pytorch-optimizer
aleju/imgaug
zju3dv/SMAP
stevenlovegrove/Pangolin
raulmur/ORB_SLAM2
dorian3d/DBoW2
UZ-SLAMLab/ORB_SLAM3
jlblancoc/nanoflann
xdspacelab/openvslam
AliaksandrSiarohin/first-order-model
flanggut/smvs
google/glog
DrTimothyAldenDavis/SuiteSparse
JiawangBian/GMS-Feature-Matcher
conan-io/conan-center-index
bkaradzic/bgfx
bkaradzic/bx
bkaradzic/bimg
CedricGuillemet/ImGuizmo
emphasis87/libmpfr-msys2-mingw64
znah/notebooks
theodelrieu/conan-darwin-toolchain
PetWorm/LARVIO
daniilidis-group/msckf_mono
coin-au-carre/slacking
boostorg/beast
bkaradzic/GENie
opencv/opencv
FFmpeg/FFmpeg
conan-io/conan
SpectacularAI/HybVIO
epezent/implot
ceres-solver/ceres-solver
ocornut/imgui
sheldonth/ios-cmake
sickcodes/Docker-OSX
ios-control/ios-deploy
darlinghq/darling
PeiliangLi/opencv_modify
HKUST-Aerial-Robotics/VINS-Mono
microsoft/PowerToys
libsdl-org/SDL
pnggroup/libpng
google/ruy
pytorch/cpuinfo
RobinLinus/snapdrop
Maratyszcza/FP16
Maratyszcza/FXdiv
Maratyszcza/pthreadpool
Maratyszcza/psimd
intel/ARM_NEON_2_x86_SSE
MIT-SPARK/Kimera-RPGO
MIT-SPARK/Kimera-VIO
laurentkneip/opengv
borglab/gtsam
ganlumomo/VisualInertialOdometry
superjax/ceres_sandbox
ethz-asl/kalibr
g-truc/glm
opencv/opencv_contrib
RosettaCommons/binder
fatedier/frp
aras-p/glsl-optimizer
gflags/gflags
USCiLab/cereal
soxoj/maigret
zxing-cpp/zxing-cpp
bfgroup/b2
ARM-software/astc-encoder
randy408/libspng
madler/zlib
assimp/assimp
brycedrennan/imaginAIry
google/XNNPACK
tensorflow/tensorflow
google/astc-codec
glfw/glfw
KarypisLab/METIS
KarypisLab/GKlib
fmtlib/fmt
zeux/meshoptimizer
strasdat/Sophus
cmdwtf/imgui_toggle
cnqiangfu/PL-VINS
QingSimon/VINS-Mono-code-annotation
KhronosGroup/glslang
KhronosGroup/SPIRV-Tools
KhronosGroup/SPIRV-Headers
KhronosGroup/SPIRV-Cross
ericniebler/range-v3
ocornut/imgui_test_engine
yixuan/spectra
libjpeg-turbo/libjpeg-turbo
boostorg/boost
google/googletest
openssl/openssl
qt-labs/jom
memononen/nanovg
AdrianEddy/telemetry-parser
coqui-ai/TTS
ThePhD/sol2
