puppetlabs/puppet
puppetlabs/facter
puppetlabs/puppet-rfc
open-source-parsers/jsoncpp
vmware/chap
tzlaine/text
RedBeard0531/better_exception_ptr
bazelbuild/bazel
llvm/llvm-project
