tholman/zenpen
obonaventure/SystemesInformatiques
mdelandmeter/SystemesInformatiques-Solutions
nginx-shib/shibboleth-fastcgi
UCL-INMA/LINMA1691
iXce/gmusicimport
JuliaOpt/MathProgBase.jl
HumanDynamics/openbadge-analysis
herrmannplatz/emoji-list
albertauyeung/matrix-factorization-in-python
Gp2mv3/Syntheses
drivendata/cookiecutter-data-science
dimforge/nphysics.org
rustwasm/wasm-bindgen
RustAudio/rust-jack
JoJoJet/bevy-mouse-tracking
tree-sitter/tree-sitter
dxmh/qmk-keymap
time-rs/time
NixOS/nixpkgs
tokio-rs/prost
lunacookies/eldiro
Misterio77/nix-colors
standard-ai/ya-gcp
konradsz/igrep
oxalica/nocargo
bevyengine/bevy
dimforge/bevy_rapier
esp-rs/espup
nix-community/home-manager
oxalica/nil
automerge/autosurgeon
automerge/automerge
helix-editor/helix
DioxusLabs/taffy
TheDan64/inkwell
