KiCad/kicad-library
flashrom/flashrom
torvalds/linux
openwrt/openwrt
Heckie75/eQ-3-radiator-thermostat
dreamiurg/avr-liberty
LibreELEC/LibreELEC.tv
raspberrypi/linux
NVIDIA/cuda-samples
NVIDIA-developer-blog/code-samples
gosha20777/keras2cpp
Dobiasd/frugally-deep
