gabrielecirulli/2048
romario333/opensudoku
johanhil/copy-to-clipboard
ligi/FAST
minetest/minetest
lordi/tickmate
darktrojan/buttonsback
android-ide/platform_development
wikimedia/apps-android-wikipedia
FredJul/Flym
anthonycr/Lightning-Browser
kolavar/android-support-v4-preferencefragment
aosp-mirror/platform_frameworks_support
velazcod/Tinfoil-Facebook
balysv/material-ripple
PSDev/LicensesDialog
delan/facepaste
amartinz/DeviceControl
indywidualny/FaceSlim
nolanlawson/Catlog
pylerSM/XInstaller
LeaVerou/dpi
rovo89/XposedBridge
mthli/Cracker
hjmodi/XposedInstaller
slezica/blogActivity
kzjeef/AxmlParserPY
CyanogenMod/android_packages_apps_Settings
CyanogenMod/android_packages_apps_Browser
adblockplus/adblockplus-legacy
TeamWin/android_device_samsung_d2-common
TeamWin/twrpme
400plus/400plus
Grarak/KernelAdiutor
jclehner/diskusage
thewizrd/android_device_samsung_celox-common
thewizrd/android_device_samsung_skyrocket
thewizrd/android_device_samsung_hercules
thewizrd/android_device_samsung_celox
daiwx/QConsole
gizm0n/QEditor
geometer/FBReaderJ
stylish-userstyles/stylish
tonsky/FiraCode
pockethub/PocketHub
pelya/screen-dimmer-pixel-filter
Xlythe/Calculator
mupen64plus-ae/mupen64plus-ae
mbitson/mcg
CyanogenMod/android_packages_apps_Gello
otwcode/otwarchive
Crazy-Hand-Project/Crazy-Hand
ModulousSmash/ModulousNext
ModulousSmash/Modulous-Legacy
atom/tree-view
atom/settings-view
atom/fuzzy-finder
atom/atom-space-pen-views
larsenwork/monoid
thewizrd/android_kernel_samsung_msm8660-common
thewizrd/android_device_samsung_msm8660-common
aaditmshah/typechart
smogon/pokemon-showdown
nt1m/vivaldi-fox
CaptainSwag101/gba-mus-ripper-gui
jordanbarkley/19XX
ipatix/Sappy
pret/pokeruby
abreheret/MidiEditor
libretro/RetroArch
CaptainSwag101/gba-mus-ripper
vgmtrans/vgmtrans
jpriebe/hotdeath
LegendaryPKMN/ivcalc
ilya-epifanov/jackosx
redhat-developer/vscode-java
nodeca/pako
servo/download.servo.org
buserror/aften
pret/pokeemerald
git/git
ipatix/agbplay
yenatch/pretmap
highlightjs/highlight.js
eschulte/clang-mutate
llvm-mirror/clang
danmar/simplecpp
nvm-sh/nvm
Homebrew/brew
sorin-ionescu/prezto
zsh-users/zsh
ogham/exa
stephanemagnenat/homebrew-kf5
thestk/rtmidi
jdkoftinoff/jdksmidi
google/re2
gnachman/iterm2-website
owenthereal/ccat
KDE/clazy
cooljeanius/segment_dumper
Homebrew/homebrew-core
brenns10/lsh
termux/termux-app
ipatix/midfix4agb
stephen-soul/Qt-Code-Samples
pret/agbcc
lpsantil/ucpp
termux/termux-exec
eteran/c-vector
ggreer/the_silver_searcher
BurntSushi/ripgrep
danmar/cppcheck
edenhill/mklove
antirez/sds
Cyan4973/xxHash
vimpunk/mio
xtensor-stack/xsimd
alperakcan/fuse-ext2
BLAKE2/BLAKE2
szeged/nevada
google/highwayhash
intel/ARM_NEON_2_x86_SSE
WojciechMula/simd-sort
nims11/vim-nano
dryc/libc11
Morwenn/SGL
lemire/simdcomp
cabellwg/exit-vim
bryanlimy/dynamic-hash-table
Fr3shed/FILES
esneider/debug
b-k/21st-Century-Examples
aligrudi/neatlibc
calccrypto/uint128_t
termux/termux-packages
UnknownShadow200/ClassiCube
SDRausty/TermuxArch
lanl/stress-make
dolphin-emu/dolphin
svpv/ZrHa64
simdjson/simdjson
llvm-mirror/llvm
MrNbaYoh/basehaxx
fail0verflow/letterbomb
PikalaxALT/gbz80-none-any-objdump
vnmakarov/mum-hash
actix/actix-net
actix/actix
actix/actix-website
actix/actix.github.io
actix/actix-protobuf
DLTcollab/sse2neon
wangyi-fudan/wyhash
espadrine/shishua
cyb70289/utf8
atasro2/pwaa1
mgba-emu/mgba
TryItOnline/brainfuck
netwide-assembler/nasm
HexHive/printbf
wiidev/usbloadergx
64/cpp-faq
jordansissel/xdotool
sampersand/squire
dylanaraps/neofetch
Eisenwave/tccpp-articles
sampersand/Mercenary
mjaun/android-anuto
HarbourMasters/Shipwright
jojobear13/shinpokered
devkitPro/libgba
devkitPro/devkitarm-crtls
ipatix/gba-hq-mixer
devkitPro/nds-examples
simdutf/simdutf
simd-everywhere/simde
RevoSucks/UPR-Speedchoice
DawnTeamMC/Culinaire
