neovim/neovim
vim/vim
luarocks/luarocks
ziglang/zig
eza-community/eza
seandewar/memetendo-unsafe-boy-advance
eza-community/powertest
Diablo-D3/dotfiles
uncrustify/uncrustify
neovim/nvim-lspconfig
mfussenegger/dotfiles
folke/dot
casey/dotfiles
yorickpeterse/dotfiles
gierens/nvimconf
lewis6991/dotfiles
tjdevries/config_manager
smolck/dotfiles
ii14/dotfiles
NixOS/nixpkgs
MariaSolOs/dotfiles
casey/just
neovim/doc
inko-lang/inko
ii14/fzx
nvim-treesitter/nvim-treesitter
msgpack/msgpack-c
neovim/unibilium
tree-sitter/tree-sitter
Homebrew/homebrew-core
void-linux/void-packages
leonerd/libtickit
echasnovski/mini.nvim
ThePrimeagen/harpoon
libuv/libuv
teto/home
neovim/libtermkey
neovim/neovim-releases
neovim/deps
neovim/libvterm
mfussenegger/nvim-lint
JuliaStrings/utf8proc
JohnnyMorganz/StyLua
microsoft/vcpkg
neovim/neovim.github.io
Shougo/defx.nvim
Shougo/denite.nvim
Shougo/deoplete.nvim
mrjones2014/tldr.nvim
kevinhwang91/rnvimr
davidhalter/jedi-vim
dccsillag/magma-nvim
filipdutescu/renamer.nvim
ipod825/ranger.nvim
ipod825/igit.nvim
jakemason/ouroboros.nvim
KillTheMule/nvimpam
adolenc/cl-neovim
octarect/nvim-lspservers
antoinemadec/coc-fzf
aurieh/discord.nvim
dfendr/trozo.nvim
jez/vim-better-sml
Redstoneguy129/vimrpc
john-d-murphy/tidalnvim
kyoz/npm.vim
madskjeldgaard/vim-supercollider-snippets
phpactor/phpactor
prabirshrestha/vim-lsp
rsrchboy/vim-ducttape
salkin-mada/openscad.nvim
stevearc/gkeep.nvim
syberant/nix-neovim
weilbith/nvim-floating-tag-preview
yining/vim-cargomutants
yining/vim-rustcexplain
yriveiro/dap-go.nvim
HiPhish/awk-ward.nvim
HiPhish/info.vim
HiPhish/quicklisp.nvim
helix-editor/helix
tree-sitter/tree-sitter-c
Homebrew/actions
uyha/tree-sitter-cmake
