yifanlu/KindleTool
koreader/kindlepdfviewer
intelfx/kde-colors-solarized
koreader/koreader
libarchive/libarchive
koreader/koreader-base
koreader/koreader-misc
barsanuphe/librarian
jgoguen/calibre-kobo-driver
barsanuphe/librariansync
kovidgoyal/calibre
intelfx/konsole-colors-solarized
crosstool-ng/crosstool-ng
GregorR/musl-cross
phriked/AstralKeys
koreader/koxtoolchain
koreader/koreader-fonts
koreader/ffi-cdecl
coplate/KUAL_Booklet
dhepper/font8x8
koreader/crengine
koreader/android-luajit-launcher
koreader/libk2pdfopt
baskerville/plato
nothings/stb
shermp/Kobo-UNCaGED
shermp/go-fbink-v2
pazos/cervantes-safemode
benhoyt/inih
pgaskin/kobo-mods
frostschutz/Kobo
AppImageCommunity/zsync2
cph6/zsync
llandsmeer/inkvt
zlib-ng/zlib-ng
koreader/lj-wpaclient
Dushistov/sdcv
inotify-tools/inotify-tools
koreader/contrib
pl-semiotics/mxc_epdc_fb_damage
koreader/koreader-base
koreader/koreader
ezdiy/unimap
lzyor/kosync
pgaskin/koboutils
notmarek/LanguageBreak
