bbatsov/zenburn-emacs
web-platform-tests/wpt
w3c/webvtt
w3c/respec
tobie/specref
richtr/html-media-focus
emacsorphanage/helm-ag
w3c/webappsec
w3c/mediasession
mounirlamouri/media-focus
w3c/screen-wake-lock
yoavweiss/http-client-hints
w3c/presentation-api
purcell/color-theme-sanityinc-tomorrow
w3c/deviceorientation
w3c/selection-api
w3c/mediacapture-record
WICG/aom
w3c/webrtc-pc
immersive-web/webxr
WebAudio/web-midi-api
WICG/webusb
WebBluetoothCG/web-bluetooth
web-platform-tests/wpt
w3c/input-events
w3c/webdriver
w3c/longtasks
w3c/ServiceWorker
w3c/web-share
WICG/budget-api
w3c/webappsec-csp
w3c/FileAPI
WebAudio/web-audio-api
w3c/webappsec-referrer-policy
w3c/webauthn
w3c/screen-orientation
w3c/web-performance
w3c/clipboard-apis
w3c/mediacapture-image
w3c/mediacapture-fromelement
w3c/preload
w3c/web-animations
WICG/starter-kit
WICG/admin
web-platform-tests/wpt
w3c/touch-events
GoogleChrome/chromium-dashboard
WICG/input-device-capabilities
w3c/sensors
w3c/staticrange
w3c/DOM-Parsing
w3c/css-houdini-drafts
WICG/resize-observer
w3c/IntersectionObserver
WICG/keyboard-lock
WICG/entries-api
w3c/webappsec-permissions-policy
w3c/vibration
w3c/network-error-logging
WICG/css-parser-api
w3c/motion-path
izh1979/makepdf
w3c/web-share-target
web-platform-tests/wpt-pr-bot
w3c/webrtc-provisional-stats
mdittmer/object-graph-js
mdn/browser-compat-data
w3c/media-capabilities
w3c/accelerometer
w3c/gyroscope
w3c/magnetometer
web-animations/web-animations-js
w3c/csswg-w3ctestlib
w3c/reffy
WICG/animation-worklet
whatwg/webidl
w3c/geolocation-sensor
w3c/picture-in-picture
w3c/performance-timeline
w3c/orientation-sensor
w3c/media-source
w3c/battery
w3c/html-media-capture
w3c/manifest
w3c/mediacapture-depth
w3c/mediacapture-output
w3c/remote-playback
w3c/server-timing
w3c/payment-request
webcompat/webcompat.com
w3c/mediacapture-screen-share
WICG/keyboard-map
web-platform-tests/wpt
python-hyper/hpack
mustaqahmed/user-activation-v2
Homebrew/homebrew-cask-versions
octokit/octokit.js
w3c/event-timing
w3c/webrtc-stats
w3c/permissions
mdittmer/mdn-confluence
web-platform-tests/wpt.live
web-platform-tests/rfcs
sinonjs/sinon
w3c/geolocation-api
mdittmer/facade-js
WICG/client-hints-infrastructure
w3c/largest-contentful-paint
WICG/element-timing
googleapis/nodejs-bigquery
actions/typescript-action
speced/bikeshed-data
plinss/widlparser
immersive-web/webxr-test-api
WICG/file-system-access
palaniraja/blog2md
wooni005/exitwp-for-hugo
speced/bikeshed
ottobonn/hexo-image-sizes
octokit/request.js
WICG/get-installed-related-apps
whatwg/whatwg.org
WICG/overscroll-scrollend-events
w3c/webref
w3c/csswg-drafts
w3c/device-memory
WICG/video-rvfc
gpuweb/cts
WICG/scroll-to-text-fragment
MicrosoftEdge/MSEdgeExplainers
WICG/background-fetch
WICG/cookie-store
w3c/svgwg
mseminatore/TeslaJS
w3c/w3c.github.io
w3c/webrtc-ice
w3c/webappsec-subresource-integrity
html5lib/html5lib-python
GoogleChromeLabs/pywebsocket3
WICG/deprecation-reporting
rachelandrew/gridbugs
mdn/content
mdn/insights
w3c/mathml-core
whatwg/participate.whatwg.org
philipwalton/flexbugs
w3c/contact-picker
WICG/periodic-background-sync
WICG/content-index
w3c/webidl2.js
w3c/uievents
w3c/webcodecs
w3c/trusted-types
w3c/webrtc-encoded-transform
Fyrd/caniuse
immersive-web/anchors
WICG/construct-stylesheets
immersive-web/hit-test
w3c/payment-handler
openwebdocs/project
w3c/fxtf-drafts
WICG/frame-timing
WICG/local-font-access
Homebrew/homebrew-cask-versions
python/mypy
ireade/caniuse-embed
mdn/yari
GoogleChromeLabs/chromium-bidi
GoogleChrome/web.dev
webcompat/browser-compat-bugs
puppeteer/puppeteer
ThermIQ/thermiq_mqtt-ha
w3c/webrtc-identity
Ecosystem-Infra/wpt-results-analysis
web-platform-tests/interop
staticwebdev/vanilla-basic
cssninjaStudio/unplugin-fonts
dfabulich/baseline-calculator
WICG/document-picture-in-picture
gpuweb/gpuweb
WebAssembly/spec
jgraham/interop-gh-comment
web-platform-dx/web-features
