scalanlp/breeze
milessabin/shapeless-type-class-derivation-2015-demo
trustedanalytics/atk
trustedanalytics/atk
trustedanalytics/atk
trustedanalytics/atk
apache/flink
trustedanalytics/spark-tk
AlpineNow/SparkML2
dmlc/xgboost
apache/spark
tensorflow/tensorflow
tensorflow/serving
trustedanalytics/scoring-engine
tensorflow/ecosystem
tapanalyticstoolkit/spark-tensorflow-connector
cleverhans-lab/cleverhans
reineking/pyds
facebookresearch/Detectron
alibaba/ai-matrix
tensorflow/examples
huggingface/optimum-habana
