WrBug/dumpDex
qq1091192337/VirtualApp
xxxyanchenxxx/SigKill
skylot/jadx
JeremieCHN/MetaDataStringEditor
vaibhavpandeyvpz/apkstudio
patrickfav/uber-apk-signer
keystone-engine/keypatch
dyglcc/reverseToy
ReactiveDrop/reactivedrop_translations
Perfare/Zygisk-Il2CppDumper
dail8859/NotepadNext
350030173/global-metadata_dump
alex520lq/FakerAndroid
hexhacking/xDL
ingokegel/jclasslib
jamie-mh/AuthenticatorPro
horsicq/XTranslation
