hashicorp/terraform-aws-vault
getmoto/moto
terraform-aws-modules/terraform-aws-sns
terraform-aws-modules/terraform-aws-sqs
hashicorp/terraform
terraform-aws-modules/terraform-aws-vpc
terraform-aws-modules/terraform-aws-ec2-instance
hashicorp/terraform-provider-aws
aws/aws-xray-sdk-python
terraform-aws-modules/terraform-aws-s3-object
terraform-aws-modules/terraform-aws-ecs
terraform-aws-modules/terraform-aws-acm
gruntwork-io/terragrunt
terraform-aws-modules/terraform-aws-redshift
aws/aws-sdk-go
lirantal/pie-my-vulns
GoogleCloudPlatform/terraformer
aquasecurity/tfsec
gruntwork-io/kubergrunt
terraform-docs/terraform-docs
hashicorp/aws-sdk-go-base
hashicorp/terraform-provider-kubernetes
terraform-aws-modules/meta
terraform-aws-modules/terraform-aws-notify-slack
bflad/tfproviderlint
terraform-aws-modules/terraform-aws-iam
terraform-aws-modules/terraform-aws-atlantis
nozaq/terraform-aws-secure-baseline
bridgecrewio/checkov
awsdocs/aws-codeartifact-user-guide
aws-samples/create-react-app-auth-amplify
terraform-aws-modules/terraform-aws-alb
hashicorp/terraform-provider-google
hashicorp/terraform-provider-vault
Mongey/terraform-provider-confluentcloud
terraform-google-modules/terraform-google-kubernetes-engine
chesshacker/terraform-provider-confluence
jianyuan/terraform-provider-sentry
russellcardullo/terraform-provider-pingdom
jenkinsci/helm-charts
houqp/terraform-provider-airflow
aeirola/terraform-provider-bitbucket
apache/airflow-client-go
apache/airflow
apache/airflow-site
hashicorp/terraform-provider-influxdb
bartoszj/terraform-provider-cassandra
GoogleCloudPlatform/magic-modules
jdamata/terraform-provider-sonarqube
jenkinsci/bitbucket-branch-source-plugin
traefik/traefik-helm-chart
infracost/infracost-atlantis
infracost/infracost
kubernetes-sigs/aws-ebs-csi-driver
runatlantis/helm-charts
nordcloud/go-pingdom
helm/charts
jaegertracing/helm-charts
terraform-google-modules/terraform-google-project-factory
terraform-google-modules/terraform-google-composer
argoproj/argo-helm
GoogleCloudPlatform/spark-on-k8s-operator
lightbend/spark-history-server-docker
arkiaconsulting/terraform-provider-confluent-schema-registry
infracost/example-terraform
runatlantis/atlantis
jenkinsci/multibranch-build-strategy-extension-plugin
prometheus-community/helm-charts
bitnami/charts
hashicorp/vault-helm
oliver006/redis_exporter
argoproj/argo-rollouts
