vorburger/mifosx
loxxy/openalpr
apache/fineract
Poorvankbhatia/Data-Structures-In-Java
eugenp/tutorials
thuru-zz/CloudPatterns
arialdomartini/Back-End-Developer-Interview-Questions
jeffsheets/MockRestServiceServerExample
luispedro/BuildingMachineLearningSystemsWithPython
spring-projects/spring-data-examples
karlarao/forecast_examples
jakevdp/WhirlwindTourOfPython
MainRo/deepspeech-server
MainRo/docker-deepspeech-server
ageron/handson-ml
spac3lord/eip
donnemartin/awesome-aws
FallibleInc/security-guide-for-developers
alexeyltd/Apache-Spark-with-Java
xebia/microservices-breaking-up-a-monolith
learning-spring-boot/learning-spring-boot-video-code
Baeldung/spring-security-registration
basdijkstra/rest-assured-workshop
binhnguyennus/awesome-scalability
Apjo/AWSAssociateSolutionsArchitectNotes
asarkar/java8-impatient
icodeshivam/annotation-analytic-framework
vladmihalcea/high-performance-java-persistence
octachrome/innodb-locks
jeffgriffith/native-jvm-leaks
poonamparhar/native_leaks
odnoklassniki/one-nio
LappleApple/awesome-leading-and-managing
mgp/book-notes
cheat-sheets/the-laws-of-human-nature-cheat-sheet
puncsky/system-design-and-architecture
AaronLiuIsCool/Effective-Java-Third-Edition-Reading-Notes
iluwatar/java-design-patterns
DovAmir/awesome-design-patterns
prasadgujar/low-level-design-primer
MayV/ChessGame
tssovi/grokking-the-object-oriented-design-interview
arpitbbhayani/system-design-questions
weeeBox/mobile-system-design
signalfx/activemq-integration
mingrammer/diagrams
darinpope/jenkins-example-liquibase
vy/hrrs
MichaelCade/90DaysOfDevOps
the-prksh/educative-courses
NithishB06/smallcap-sip-bot-backend
pfilipowicz/aws-json-api-gateway-caller
awsdocs/aws-doc-sdk-examples
okigan/awscurl
DistrictDataLabs/yellowbrick
TechPrimers/learning-path-system-design
Shopify/ghostferry
wagoodman/dive
dkorolev/hiring-without-whiteboards
Adaickalavan/Parking-Lot-Problem
Adaickalavan/Parking-Lot-Problem-Extended
tsenart/vegeta
Chanda-Abdul/Several-Coding-Patterns-for-Solving-Data-Structures-and-Algorithms-Problems-during-Interviews
thombergs/code-examples
resilience4j/resilience4j
xizhengszhang/Leetcode_company_frequency
groupe-sii/cheat-sheets
fishercoder1534/Leetcode
jonasraoni/codility
Mickey0521/Codility
keyvanakbary/learning-notes
alexandru/scala-best-practices
madhank93/learn-system-design
kamranahmedse/design-patterns-for-humans
vijayontheweb/Concurrency
vijayontheweb/tech_notes
anthonychwong/multi-threading-exercises
javaf/bathroom-lock
camunda-community-hub/camunda-8-code-studio
CodingChallegesFYI/SharedSolutions
confluentinc/demo-scene
confluentinc/examples
malgamves/CommunityWriterPrograms
arpitbhardwaj/architecture-diagrams
dkuida/the-method-draw-io-architecture-template
mateusz-brainhub/awesome-cto-resources
sdaschner/java-playground
