DanMcInerney/xsscrapy
michenriksen/aquatone
Hackplayers/4nonimizer
samratashok/ADModule
nyxgeek/o365recon
n1xbyte/donutCS
depthsecurity/armory
j3ssie/osmedeus
BloodHoundAD/SharpHound3
dirkjanm/BloodHound-AzureAD
rapid7/metasploit-framework
cobbr/SharpSploit
py7hagoras/CovenantTasks
fir3d0g/mimidogz
byt3bl33d3r/CrackMapExec
cs01/pyxtermjs
h4x0r-dz/CVE-2021-26855
op7ic/EDR-Testing-Script
hausec/ProxyLogon
redcanaryco/atomic-red-team
adrecon/ADRecon
orlyjamie/mimikittenz
BC-SECURITY/Empire
paranoidninja/Pandoras-Box
m8sec/EAPrimer
PoesRaven/public
D4rthMaulCop/DumpKernel-S1
