iOSDevClub/NoNuke
MailCore/mailcore2
CocoaPods/Specs
lingling2012/Typhoon
yehnan/objective-c-style-guide
kejinlu/KKPagedFlowView
honcheng/iOSPlot
RedBearLab/BLEShield
xareelee/XSpect
nicinabox/superslides
mruegenberg/ios-linechart
honcheng/PaperFold-for-iOS
r3econ/animation-extensions
mttrb/BeaconOSX
saturngod/IAPHelper
newlinedotco/FlappySwift
exilias/SwiftTodo
Estimote/Android-Fleet-Management-SDK
magicalpanda/MagicalRecord
SwiftGGTeam/the-swift-programming-language-in-chinese
ViewDeck/ViewDeck
gleue/TGLStackedViewController
opedge/OMAMovingAnnotations
eliotfowler/EFCircularSlider
hpique/SwiftSingleton
brutella/chatheads
audreyt/node-webworker-threads
audreyt/500lines
kasei/SwiftRegex
vsouza/awesome-ios
niltsh/MPlayerX
remy/html5demos
sindresorhus/multiline
smlsunxie/mobius-cms
d3/d3
microsoft/dotnet
angular/angular.js
alincode/learngeb
novus/nvd3
jetpacapp/DeepBeliefSDK
adison/-VideoToolboxDemo
mgcm/MMPopLabel
objcio/issue-2-background-core-data
lexrus/VPNOn
ppawel/youtube-dl
yccheok/jstock
greenrobot/EventBus
vampirewalk/ObjectGraph-Xcode
emilsjolander/StickyListHeaders
ijustyce/list_sticky_scroll_trick
pandao/editor.md
jessesquires/JSQMessagesViewController
toomore/grs
BradLarson/GPUImage
diasks2/ruby-nlp
samuel077/imageOperator
TobiasBuchholz/CircularViewPager
dkhamsing/open-source-ios-apps
josephmisiti/awesome-machine-learning
PhilJay/MPAndroidChart
danielgindi/Charts
trunk-studio/official-website
pardom-zz/ActiveAndroid
iluwatar/java-design-patterns
sromku/android-storage
nodejs/node-convergence-archive
philipamour/ios9-uikit
arnaudsj/libsvm
Alamofire/Alamofire
openedx/edx-platform
netty/netty
touchstonejs/touchstonejs-starter
fumin/ntm
googlearchive/ios-swift-chat-example
facebookincubator/SocketRocket
devedup/FlickrKit
lukhnos/objectiveflickr
microsoft/WinObjC
robbiehanson/XMPPFramework
robbiehanson/CocoaAsyncSocket
robbiehanson/CocoaHTTPServer
kstenerud/iOS-Universal-Framework
wing50kimo/MyCalendar
Atmosphere/atmosphere
DaidoujiChen/DaiInboxHUD
DaidoujiChen/DaiQuickPicker
DaidoujiChen/DaiExpandCollectionView
michaelhenry/ImageViewer.swift
CoderMJLee/MJRefresh
DaidoujiChen/DaiDebugLog
ChenYilong/iOS9AdaptationTips
slackhq/SlackTextViewController
jcjohnson/neural-style
zxingify/zxingify-objc
mikebuss/MTBBarcodeScanner
MartinRGB/Replace-iOS
MartinRGB/MTSwift-Learning
MartinRGB/MTMaterialDelete
fxsjy/jieba
ChristosChristofidis/awesome-deep-learning
yusugomori/DeepLearning
haginile/SwiftAccelerate
apple/swift
DaidoujiChen/DaiFileManagerSwift
tensorflow/tensorflow
raymcbride/neural-networks
BVLC/caffe
openai/gym
deeplearning4j/deeplearning4j
darksigma/Fundamentals-of-Deep-Learning-Book
ruby/ruby
wepe/MachineLearning
numpy/numpy
alexsosn/iOS_ML
PerfectlySoft/Perfect-MySQL
Hironsan/BossSensor
exacity/deeplearningbook-chinese
junyanz/CycleGAN
yhfudev/doc-ml-ufldl
tesseract-ocr/tesseract
openpaperwork/pyocr
JinpengLI/deep_ocr
gali8/Tesseract-OCR-iOS
cypw/DPNs
TuSimple/mx-maskrcnn
shaoanlu/faceswap-GAN
isnowfy/snownlp
tegaki/tegaki
w8r/GreinerHormann
w8r/martinez
Sanster/text_renderer
MaybeShewill-CV/CRNN_Tensorflow
world4jason/text_detector
carpedm20/DCGAN-tensorflow
bai-shang/crnn_ctc_ocr_tf
YCG09/chinese_ocr
Belval/TextRecognitionDataGenerator
realwill/SynthText_Chinese_version
homenc/HElib
hynek/argon2-cffi
pytries/marisa-trie
explosion/spaCy
facebookresearch/fairseq
awoobrain/BAT
facebookresearch/seamless_communication
microsoft/unilm
PlayVoice/so-vits-svc-5.0
ymcui/Chinese-LLaMA-Alpaca-2
huggingface/text-generation-inference
MiuLab/Taiwan-LLM
CodeReclaimers/neat-python
