benhutchison/ScalaSwingContrib
softwaremill/quicklens
saig0/scala-js-jqueryui-example-app
thomaschampagne/elevate
mrdoob/three.js
mishoo/UglifyJS
LWJGLX/lwjgl3-awt
dportabella/scalajs-bootstrap4-examples
rshipp/octostatus.ahk
volny/creative-theme-jekyll
scala-js/jsdependencies
scala/scala
sirthias/borer
convergencelabs/convergence-server
jquery/esprima
scalacenter/sbt-dependency-submission
scala/scala-parser-combinators
bobbylight/RSTALanguageSupport
mallowigi/color-highlighter
sgothel/joal
three-types/three-ts-types
magenta/magenta-js
lampepfl/dotty
