jfeinstein10/SlidingMenu
chrisbanes/Android-PullToRefresh
zendesk/android-floating-action-button
mozuck/PagerSlidingTabStrip
drozdzynski/Steppers
MLSDev/RxImagePicker
timusus/RecyclerView-FastScroll
novoda/gradle-android-command-plugin
ybq/Endless-RecyclerView
Tapadoo/Alerter
linisme/SlimAdapter
airbnb/lottie-android
pwittchen/prefser
TheLester/Instagram-Helper
square/okio
appunite/video-player-android
PierfrancescoSoffritti/android-youtube-player
Yalantis/uCrop
weakfl/Swift-YouTube-Player
airbnb/lottie-web
google/ExoPlayer
joncardasis/ChromaColorPicker
GaspardMerten/Firebase-Cloud-Messaging-Interop
kubatatami/GoogleSourceNearby
beathead-team/RxDisplayLink
doublesymmetry/react-native-track-player
cedvdb/phone_form_field
doublesymmetry/KotlinAudio
doublesymmetry/SwiftAudioEx
aws-amplify/amplify-swift
