facebook/react
kshitijmishra23/low-level-design-concepts
kagermanov27/daath-ai-parser
VishwaGauravIn/github-profile-readme-maker
getcursor/cursor
Netflix/mantis
chaos-genius/chaos_genius
metabase/metabase
apache/kafka
RocketChat/Rocket.Chat
yugabyte/yugabyte-db
DavidWells/analytics
rcdexta/react-trello
ossrs/srs
appsmithorg/appsmith
Significant-Gravitas/AutoGPT
resuminator/resuminator
PostHog/posthog
plasmicapp/plasmic
appwrite/appwrite
fern-api/fern
gravitational/teleport
pupilfirst/pupilfirst
prevwong/craft.js
bobangajicsm/react-portfolio-website
knadh/listmonk
TheAlgorithms/Rust
skmail/responsive-viewer
exercism/exercism
timmers/awesome-federated-learning
ajaxorg/ace
Developer-Y/cs-video-courses
edhinrichsen/Glowbal
microsoft/monaco-editor
slidevjs/slidev
calcom/cal.com
Shopify/draggable
nocodb/nocodb
hydradatabase/hydra
gogs/gogs
airbytehq/airbyte
plausible/analytics
SigNoz/signoz
supabase/supabase
blockprotocol/blockprotocol
supertokens/supertokens-core
algorithm-visualizer/algorithm-visualizer
lichess-org/fishnet
AstroNvim/AstroNvim
FuelLabs/fuel-indexer
meilisearch/meilisearch
denoland/deno
oven-sh/bun
metalbear-co/mirrord
Koenkk/zigbee2mqtt
catppuccin/tmux
juspay/hyperswitch
AppFlowy-IO/AppFlowy
AppFlowy-IO/appflowy-editor
NixOS/nixpkgs
canonical/lxd
andreabergia/rjvm
knarkzel/cloud
surrealdb/surrealdb
grafana/grafana
furiousMAC/continuity
ollama/ollama
gerryguy311/Free_CyberSecurity_Professional_Development_Resources
